label,sentence
7,군산대 창의형 첨단 학습복합공간 구축
7,군산대학교(총장 곽병선)가 해양과학대학과 공과대학에 창의형 첨단 학습복합공간인 '캠퍼스 크리에이티브존... 조성된 창의형 학습공간에서 개인별 혹은 팀별 활동을 통해 유용한 정보와 창의적인 아이디어들을 공유할...
7,경성대 ‘제2회 창의인재대학 별별청춘 백일장’ 개최
7,(사진=경성대 제공) 경성대학교 창의인재대학은 재학생들의 사고력 강화 교육을 위해 지난 8일 ‘제2회 창의인재대학 별별청춘 백일장’을 개최했다. 이번 ‘제2회 창의인재대학 별별청춘 백일장’은 코로나19로 인해...
7, 서울 초교 96% 1학년 매일 등교…창의적 학사운영 필요 
7,조 교육감은 이날 서울시교육청에서 기자간담회를 열고 학교가 대면 수업 확대를 위해 창의적인 학사운영... 주체적·창의적으로 고민해야 한다 고 강조했다. 중학교의 경우 교육청이 조사한 55개 학교 가운데 1학년을...
7,세종평생교육학습관 2회 창의융합 수학탐구대회 개최
7,［동양일보 신서희 기자］세종시평생교육학습관은 21일부터 23일까지 3일간 정부세종컨벤션센터에서 '2회 창의‧융합교육축제 대회마당 수학탐구대회'를 개최한다. 2회 창의‧융합교육축제 대회마당 수학탐구대회는...
7,우미영 어도비 지사장  크리에이터의 창의성 제고·협업 돕겠다 
7, 시·공간의 제약을 극복하고 창의적인 디지털 경험을 만드는 것이 어느 때보다 중요한 시기입니다. 어도비 크리에이티브 클라우드 기술로 국내 크리에이터들의 창의성 제고와 협업을 돕겠습니다.  우미영 어도비...
7,세븐틴 美 빌보드 단독 인터뷰… 한계가 없는 창의적인 그룹 
7,이어  이번 활동을 통해 세븐틴답게 무대를 제대로 즐기는 모습은 물론 창의적이고 에너지 넘치는 퍼포먼스를 만날 수 있다 며 자신감을 드러냈다. 빌보드는 지난 9월 조슈아와 도겸이 핑크 스웨츠와 함께한...
7,경성대 창의인재대학 별별청춘 백일장 개최
7,경성대학교(총장 송수건) 창의인재대학은 재학생들의 사고력 강화 교육을 위해 지난 8일 ‘제2회 창의인재대학 별별청춘 백일장’을 개최했다.이번 ‘제2회 창의인재대학 별별청춘 백일장’은 코로나19로 인해 제1회...
7,[칼럼] 반도체 시장 여전히 호조…창의적인 융합 인재 양성해야
7,두 전공 모두 창의적인 융합형 인재 양성을 목표로 교육을 진행해 반도체 장비 분야의 핵심 인재를 양성해 반도체클러스터 사업 SW분야에 필요한 우수한 인력 확보의 견인차 역할을 할 것으로 기대된다. 유망 산업인...
7,세종시 제2회 창의융합교육축제 '수학탐구대회' 개최
7,정부세종컨벤션센터에서 '제2회 창의융합교육축제 수학탐구대회'를 개최한다고 20일 밝혔다. '수학탐구대회'는 학생들에게 수학 학습에 대한 흥미와 동기를 부여함으로써 수학적 사고력 증진하고 창의적...
7,대구시교육청 창의융합교육원서 '수학체험센터' 개소식
7,대구시교육청은 21일 오후 2시 대구창의융합교육원에서 시의회 교육위원 및 교육관계자 등 10여명이 참석한 가운데 대구수학체험센터 개소식을 연다고 20일 밝혔다. 수학체험센터는 직접 보고 듣고 만지며 즐길 수 있는...
7,세종시 제2회 창의융합교육축제 '수학탐구대회' 개최
7,정부세종컨벤션센터에서 '제2회 창의융합교육축제 수학탐구대회'를 개최한다고 20일 밝혔다. '수학탐구대회'는 학생들에게 수학 학습에 대한 흥미와 동기를 부여함으로써 수학적 사고력 증진하고 창의적...
7,우리학교는요? 창의적 인재 키우는 경상공고
7,예의 바르고 품위 있는 사람 지식기반 사회에 대처할 수 있는 창의적인 기술인 몸과 마음이 튼튼한 건전한... 한마디로 창의적 인재를 추구하는 학교다. 폭력과 따돌림 없는 안전하고 행복한 학교를 만들기 위해 매사에...
7,세종평생교육학습관 2회 창의융합 수학탐구대회 개최
7,［동양일보 신서희 기자］세종시평생교육학습관은 21일부터 23일까지 3일간 정부세종컨벤션센터에서 '2회 창의‧융합교육축제 대회마당 수학탐구대회'를 개최한다. 2회 창의‧융합교육축제 대회마당 수학탐구대회는...
7,금천구 '창의어린이놀이터' 조성사업 연내 완공 추진
7,서울 금천구(구청장 유성훈)가 오는 12월까지 독산2동에 위치한 무궁화어린이공원에 창의어린이놀이터를 조성한다. '창의어린이놀이터'는 획일화된 놀이터에서 벗어나 다양한 놀이를 상상할 수 있는 색다른 공간으로...
7,전남도교육청 앞당겨진 미래 '창의도전 페스티벌' 성료
7,전남도교육청이 지난 17일 목포MBC와 함께 '2020 창의도전 페스티벌'을 개최했다. 전남교육청 2020창의도전 페스티벌 [사진=전남도교육청] 2020 창의도전 페스티벌은 전남도교육청과 목포문화방송이 주최하고...
7,책마루어린이작은도서관 3~5세 아동 상상력·창의력 길러준다
7,도서관은 지난 7월 장동초등학교 병설유치원을 시작으로 지난달까지 11개 유아교육기관 200여 명의 3~5세 아동들에게 책과 미디어를 융합해 상상력과 창의력 문화적 감수성을 길러주는 교육을 하고 있고 코로나19로 인한...
7,인천재능대 도서관 '자율·창의 AGORA' 열람실 구축
7,인천재능대가 송림캠퍼스 본관 13층 스카이라운지에 '자율·창의 AGORA(아고라)'를 구축했다.  인천재능대학교(총장 권대봉)는 송림캠퍼스 본관 13층 스카이라운지에 '자율·창의 AGORA(아고라)'를 구축했다고 밝혔다. 자율...
7,미래 사회 이끄는 '창의융합형 인재' 키운다
7,충남교육청-충청투데이 창의융합교육 [충청투데이 ] 충남교육청은 4차 산업혁명 시대에 맞는 창의융합적 인재를 육성키 위한 창의융합교육을 추진하고 있다. 이를 위해 충남형 메이커교육인 상상이룸교육을 비롯해...
7, 한국판 뉴딜 창의·감성·소통 女인재 없인 한계 
7,시대엔 창의성 감성과 소통 역량에서 강점을 가진 여성의 장점이 부각될 것 이라고 말했다. K-걸스데이는... 이러한 뉴노멀이 가속화되는 상황에서 맞이하게 될 한국판 뉴딜 시대엔 창의성 감성과 소통 역량에서...
7,아이스페이스 바우처 지원사업 통해 창의블록 ‘심플럭’ 제공
7,㈜아이스페이스(이하 아이스페이스)가 창의블록 ‘심플럭 키즈200’을 과학문화바우처 공급제품으로 등록해 바우처로 교환받을 수 있다. 매년 과학기술정보통신부와 한국과학창의재단에서는 과학문화바우처 사업을...
7,경북도교육청과학원 찾아가는 창의융합과학교실 운영
7,찾아가는 창의융합과학교실’을 운영하고 있다. 기존 과학교실 운영 예정이었던 학교를 대상으로 사전 신청을 받아 초・중학교 7개교 총 250명을 대상으로 진행하게 된다. ‘2020 찾아가는 창의융합과학교실’은...
7,[교육소식]인천남부지원청 과학 창의 융합 프로그램 등
7,인천남부교육지원청은 대청 중·고등학교 체육관과 대청 지역 일대에서 초·중·고등학생 40명을 대상으로 과학 창의 융합 프로그램을 실시했다고 19일 밝혔다. 이번 행사는 도서 지역 학생들에게 우수한 과학프로그램...
7,[2020 창간포럼]이원욱  규제샌드박스 도입 기업 창의성 극대화해야 
7,기업이 창의성과 상상력을 극대화 할 수 있도록 해야 한다”고 밝혔다. 이 위원장은 이날 ‘미디어펜’의... 낡은 규제를 철폐하고 신산업 분야에서의 규제샌드박스제도 도입을 통해 기업이 창의성과 상상력을 극대화 할...
7,한국과학창의재단 정상화 '중책' 누가 맡나...내달 확정
7,각종 비위와 내부 고발 등으로 내홍을 겪은 한국과학창의재단의 신임 이사장 선정 작업이 시작됐다. 신임 이사장은 비상경영체제의 과학창의재단 정상화라는 무거운 짐을 지게된다. 한국과학창의재단 이사장 공모에는...
7,산업용 로봇 교육의 메카서 창의적 인재 육성한다
7,주도할 창의적 인재를 육성하고 있다. 경남 최초 로봇 관련 특성화고교인 경남로봇고는 직업계고... 경남로봇고는 지난 2018년 여수학생창의드론 경진대회 최우수(1위)， 우수(2위)， 로봇융합페스티벌 국제청소년로봇대회...
7,경상북도교육청과학원 2020 찾아가는 창의융합과학교실 운영
7,찾아가는 창의융합과학교실'을 운영하고 있다. 기존 과학교실 운영 예정이었던 학교를 대상으로 사전 신청을 받아 초・중학교 7개교 총 250명을 대상으로 진행하게 된다. '2020 찾아가는 창의융합과학교실'은...
7,산청영재교육원 '2020 영재교육원 창의적 산출물 발표회'
7,영재교육원 창의적 산출물 발표회'를 가졌다. 코로나19 상황을 고려하여 학급별로 실시된 이번 행사에서 총... 장태분 원장은  이번 창의적 산출물 발표회가 학생들에게 협력적 문제해결의 기회 자기주도적 탐구학습의...
7,출발은 “기존 틀 탈피”… 1년4개월 만에 회전하는 ‘윙’ 탄생 [창의·혁신 현장을 가다]
7,LG전자 스마트폰 '윙' 개발 이야기 “영상 시청 최적화된 새로운 폼팩터” 상·하단 두 개의 디스플레이 회전 방식 “흔들림없이 촬영하기 좋아요” 짐벌 기능 특별 탑재… 촬영 안정감 더해 LG전자 MC사업본부 지훈준 책임...
7,[문학이 있는 풍경 문화도시를 가다] (8)부천 창의도시 프로젝트
7,문학 창의도시'로 가입하기 전 부천엔 만화가 앞서 꽃을 피웠다. '판타스틱'한 영화 축제가 걸음을 떼어놓았고 부천의 이름을 앞에 단 오케스트라는 도시의 격을 높이는 선율을 빚어냈다. 부천시 문학 창의도시를...
7,'코딩로봇'으로 창의·융합 DNA를 일깨우는 도당초등학교 코딩수업!
7,코딩 기초학습을 통해 나만의 코딩 로봇을 창작함으로써 창의·융합형 인재의 기틀을 다져가고 있다. 두... 또한 초급에서 중급까지 각 학년에 맞는 다양한 프로그램을 바탕으로 학생들의 성취 의욕과 창의‧융합 DNA를...
7,구리시청소년수련관 창의적 체험활동 '방송댄스' 수업 진행
7,구리시청소년재단(이하 구리시청소년수련관)은 동구중학교와 연계해 1 2 3학년을 대상으로 2020년 2학기 창의적 체험활동 '방송댄스' 수업을 온라인(영상)으로 진행하고 있다. 창의적 체험활동 '방송댄스'는 코로나19로...
7,평택시문화재단 창의예술 아카데미 수강생 모집
7,정장선)이 ‘창의예술 아카데미’ 수강생을 모집한다. ‘창의예술 아카데미’는 기존의 기능적 예술교육에서 벗어나 예술적 편견이나 한계가 없는 자유로운 상상 활동을 경험해 볼 수 있는 문화예술 교육프로그램이다....
7,대구창의융합교육원 부분 개관 다양한 과학 수학 체험존 마련
7,대구창의융합교육원(원장 장진주)은 코로나19로 인한 잠정 휴관을 종료하고 10월 10일부터 과학전시관 대구수학센터 등으로 구성된 대구학생과학관을 부분 개관했다. 부분 개관은 주중 학생교육활동으로 학생의 안전을...
7,조덕진의 어떤스케치-미디어아트 창의도시와 광주 미래
7,페스티벌은 광주시가 유네스코미디어아트 창의도시 신청을 위해 부대행사로 추진했다. 창의도시를 대내외에 알리는 문화 관광 상품을 겨냥한 기획축제였다. 허나 취지는 그림자도 만나기 어려운 2억원 규모의 단...
7,세종평생교육학습관 30일까지 창의·융합교육 축제
7,세종교육청은 친구나 학부모와 함께 놀며 배우고 즐거움을 나누는 세종시평생교육학습관의 '제2회 창의... 최교진 교육감은  이번 축제를 통해 교과 지식이나 단순한 정보 습득보다는 직접 보고 만지고 생각하며 창의...
7,서울강서폴리텍 창의적 사고와 기업가 정신' 인정받아
7,한국폴리텍대학 서울강서캠퍼스 학생들이 창의적 사고와 기업가 정신을 대·내외적으로 인정받았다.... 사진=서울강서캠퍼스 제공 한국폴리텍대학 서울강서캠퍼스가 창의적 사고와 기업가 정신을 대·내외적으로...
7,순천제일대 '2020년 산학협력 학술 Expo 및 혁신형 SJC 디자인/창의·창업· 산업기술역량 캡스톤디자인 경진대회'
7,디자인/창의·창업· 산업기술역량 캡스톤디자인 경진대회'를 19일(월)~20일(화)까지 대학 성심관 5층 대강당... 353명) 창의·창업·산업기술역량 캡스톤디자인 경진대회(64개팀 439명) 등 다양한 전시와 체험행사가...
7,토트넘 레전드  베일 팀에 창의성 불어 넣을 수 있어 
7,그는 지난달 20일 사우스햄튼전에서 손흥민의 4골을 도운 해리 케인처럼 팀에 창의력을 불어넣어 줄 수 있을 것 이라며  패싱력은 베일의 능력 중 하나 라고 기대했다. 베일이 팀에 합류하면 토트넘은 공격에서...
7,[DA:클립] ‘장르만 코미디’ 안영미 치마 찢기 작렬…19금 창의력
7,‘장르만 코미디’ 안영미 치마 찢기 작렬…19금 창의력 JTBC ‘장르만 코미디’ 안영미가 모두의 앞에서 치마를 찢는 화끈함으로 현장을 초토화시킨다. 오늘(17일) 저녁 7시 40분 방송되는 JTBC ‘장르만 코미디’는...
7,광양 창의예술고 2021년 신입생 모집
7,전남지역 첫 공립 예술고등학교인 '한국창의예술고등학교'가 2021년 신입생을 모집한다. ◇모집인원과 지원자격 전형방법 모집인원은 창의음악과 40명 창의미술과 20명 등 총 60명으로 오는 19일부터 22일까지 4일간...
7,LG전자 2021년엔 ‘롤러블폰’ 세계 첫 출시 예고 [창의·혁신 현장을 가다]
7,‘윙’ 시작으로 새로운 폼팩터 준비 파트너사와 협업… 생태계 조성도 업계 헤게모니 경쟁 더 치열해질 듯 “새로운 무언가를 발견할 때 삶은 기대 이상이 된다.” 지난달 LG전자가 ‘익스플로러 프로젝트’를 예고한...
7,경북교육청 창의융합형 인재 육성 박차
7,경상북도교육청은 창의융합형 인재 양성을 목표로 과학·수학·정보·융합 교육 종합계획을 세웠습니다. 권기준
7,앞당겨진 미래 ‘2020 창의도전 페스티벌’ 성료
7,전남도교육청이 지난 17일 목포MBC와 함께 ‘2020 창의도전 페스티벌’을 개최했다. 2020 창의도전 페스티벌은 전남도교육청과 목포문화방송이 주최하고...
7,함평영재교육원 종이비행국가대표와 창의과학캠프 운영
7,함평영재교육원 종이비행국가대표와 창의과학캠프 운영 함평교육지원청(교육장 김 완)은 지난 17일 함평영재교육원 초등과정 40명을 대상으로 종이비행국가대표와 함께하는 창의과학캠프를 운영하였다. 이번...
7,인천재능대 본관 스카이라운지에 '자율·창의 아고라' 구축
7,인천재능대학교는 송림캠퍼스 본관 13층 스카이라운지에 '자율·창의 AGORA(아고라)'를 구축했다고 19일 밝혔다.자율·창의 AGORA는 새로운 형태의 도서관으로 대화식 학습법을 실현할 수 있는 공간이다. 대화식 학습법은...
7,통영 영재교육원 창의적 산출물 나눔축제
7,통영교육청 영재교육원(원장 류민화)은 지난 17일 7개 영재학급 35개팀이 참여한 가운데 '2020학년도 창의적 산출물 나눔축제'를 개최했다. 이 축제는 평소 영재교육원 수업 과정에서 발견한 창의적인 생각을 모아 소규모...
7,강동구 '정책 및 창의 아이디어 공모전' 개최
7,및 창의 아이디어 공모전을 개최한다. 이번 공모전 지정주제는 △친환경에너지 정책 △코로나19 예방 및... 주요 심사기준은 창의성 능률성 실시가능성으로 구체적 대안이 없는 추상적인 제안이나 단순건의사항...
7,[인터뷰] 더라이브러리 CEO 송지훈  창의적 공간이 창의적 생각을 키웁니다 
7,주변에 책이 있는 것만으로도 창의적인 생각을 키워준다는데 이러한 공간이 스스로의 창의력을 한껏 더 올려줄 것 같은 그런 기대감을 갖게 한다. 서로 다른 특성을 가진 창의적이고 다양한 공간기획을 통해 사람과 사람...
7,창의 125주년 제천의병제 16∼17일에 축소 개최
7,충북 제천문화원은 이달 16∼17일 '호좌창의진(湖左倡義陣) 다시 팔도에 고하노라'를 주제로 창의 125주년 제천의병제를 연다고 13일 밝혔다. 문화원 측은 신종 코로나바이러스 감염증 예방을 위해 제례 위주로 행사를...
7,[롤드컵] 창의적 G2 E스포츠 스윕으로 젠지 셧다운(종합)
7,G2는 창의력이 넘치고 파괴적이었다. 18일 중국 상하이 미디어 테크에서 열린 2020 리그 오브 레전드 월드... 순간 이동 활용이나 여타 다른 운영 측면에서 창의적인 면모를 유감없이 과시했다. 간혹 젠지가 교전에서...
7,한화시스템 미국 '갤럭시 어워즈' 영상 금상 수상… 창의성 높은 평가 
7,한화시스템 관계자는  기업 홍보영상은 '보이지 않는 기술을 향한 도전'이라는 콘셉트로 기술이 줄 수 있는 가치를 강조하고자 했다 며  3D 그래픽 바탕에 최신 트렌드 감성을 반영해 창의적인 스토리 라인으로 제작한...
7,포천시 청소년 수련시설 창의교육·정규 프로그램 진행 
7, 포천시 청소년 수련시설(포천시청소년교육문화센터 및 포천청소년문화의집)은 관내 청소년들을 대상으로 비대면 창의교육·정규 프로그램을 운영한다고 19일 밝혔다. 비대면 창의교육·정규 프로그램 실시간 온라인...
7,충남창조경제혁신센터 '제8회 신재생에너지 창의혁신 공모전' 개최
7,신재생에너지 창의혁신 공모전'을 개최한다고 밝혔다. 공모전은 공고일 기준 대한민국 국적자라면 누구나... 이용한 창의적인 응용제품 기타 산업분야 및 ICT를 활용한 신재생 분야 융복합 아이디어 혹은 제품 등이다....
