label,sentence
1,코로나 위기를 기회로...문화·예술메세나 전략은?
1,com 이충관 메세나협회 사무처장이 ‘디지털을 접목한 기업의 문화공헌 사례’에 대해 발표하고 있다. [사진=‘코로나 시대의 메세나: 기업의 예술지원 전략 모색’ 토론회 영상 캡처] “아동과 청소년들은 IT 기기를...
1, 전북의 문화유산 플랫폼으로 둘러보고 체험하세요 
1,전라북도경제통상진흥원에서 'IT문화 관광플랫폼 연계 큐레이션 서비스'를 통해 개발한 '엔픽' 웹사이트 이미지. 도내 가볼만한 관광지를 소개하고 사회적경제 기업의 제품을 판매한다./사진제공=전북경제통상진흥원...
1,충북국제교육원 다문화체험 ‘외국인과 함께하는 문화교실’ 운영
1,충청북도국제교육원(원장 최용희)에서 지원하는 ‘외국인과 함께하는 문화교실... It is gaining a good response from teachers and students in the school field as they can experience the unique...
1,[IT오늘] KT 디지털 전환 화두 제시 '디지털-X 서밋' 개최…LG유플러스 '대학로Live' 시청자 25만 명 돌파
1,대한민국에서는 △KBS 성세정 아나운서(종묘) △한산 모시짜기 명인 방연옥(한산모시짜기) △비보잉 그룹 더 헤이마(창덕궁) △KBS 6시 내고향 해녀 리포터 전유경(제주 해녀문화) 등이 참여 국내 문화 유산을 ICT...
1,디지털서울문화예술대 ㈜이젠컴퓨터아카데미와 MOU 체결
1,서울문화예술대 장학금 지급 규정에 따라 장학금을 지급한다. ㈜이젠컴퓨터아카데미는 전국 17개의 캠퍼스를 운영하는 IT·디자인·컴퓨터교육 전문 브랜드로 국가공인 시험센터를 운영하고 있으며 기업 대상...
1,팬데믹 이후 변화하는 기업문화 [미리보는 ABCD포럼]
1,주식 문화콘텐츠 기업문화 바이오 등 전문 분야의 강연이 진행될 예정으로 코로나 시대 우리 사회가... 이를 위해 다양한 IT 기술이 진화 발전하고 있고 SK텔레콤도 AI 서비스에서부터 5G를 통한 초 연결 사회를...
1,느슨하지만 따뜻한 연결 코로나 시대 IT 기술의 재발견
1,최근 느슨한 연결로 함께 하는 '따뜻함'과 '흥'을 전해주는 IT 서비스들이 주목받고 있다. 코로나19 확산으로 인한 언택트 문화가 일상으로 자리 잡으며 사람 간의 연결 일상적인 소통에 대한 소중함도 새삼 커지고 있다....
1,경기도교육청 청렴문화 확산 위한 민관협의회 출범
1,청렴문화 확산을 위해 ‘경기교육 청렴사회 민관협의회’를 출범했다고 19일... that it has launched the “Gyeonggi Education Integrity Society Public-Private Council” to improve integrity and...
1,스마일게이트 퓨처랩 청각장애 아동∙청소년 위한 AI 문자 통역 서비스…'나눔의 선순환' 문화 확산 기대
1,M.A.P 툴팩은 퓨처랩이 청소년 IT 교육 격차를 해소하고자 코딩 학습에 가장 효과적인 내용을 담아 개발한... 이번 행사는 퓨처랩이 나눔의 선순환 문화 조성에 앞장 서고자 M.A.P 툴팩 크라우드 펀딩 수익금과 워크숍...
1,850억 투입 '문화소비 할인권' 울산시민은 '그림의 떡'
