label,sentence
8,[IT칼럼]인터넷 자동화 광고 ‘몰락’ 경고
8,투명성은 기술 기반 사업의 핵심을 훼손하지 않으면서 공정한 거래와 위험의 모니터링을 작동시키는 디지털 시대 보편의 윤리다. 마다해야 할 명분이 크지 않다. 앞으로 기술은 인간-기계 공존의 윤리 앞에 겸손해질...
8,[AI의 역습②] 해외서는? ‘검색 조작’ 벌금 받은 구글 윤리 실현 앞장
8,◆ 앞다퉈 ‘윤리 가이드’ 마련...신시장도 창출예상치 못한 AI알고리즘 오류가 발견되자 글로벌 IT기업은 AI윤리규범을 수립해 극복하는 노력을 펼치고 있다. MS는 2017년 ‘AI 디자인 원칙’과 ‘AI 윤리 디자인...
8,“나쁜 XX” 가짜사나이發 정의의 탈을 쓴 괴물? [IT선빵!]
8,하지만 전문가들은 “잘못된 윤리의식으로 위험한 인터넷 문화를 확산하고 있다”며 우려하고 있다. 15일... 김봉섭 한국정보화진흥원 연구위원은  자신이 사회정의를 바로 세운다는 정당화 아래에서 잘못된 윤리기준을...
8,KB국민카드 ‘일반10명 IT10명’…하반기 신입사원 공개채용
8,김빛나 기자 KB국민카드가 일반 직무 10명과 정보기술(IT) 직무 10명 등 총 20명 규모로 2020년 하반기 신입... “금융인으로서의 윤리 의식을 바탕으로 미래 가치 창조에 기여 가능한 역량과 창의성을 갖춘 우수...
8,과학창의재단 혁신방안 발표…윤리경영으로 비리재단 오명 벗는다
8,비위발생 근절을 위한 윤리경영도 강화한다. 5대 중대비위에 대해서는 ‘원 스트라이크 아웃제’를... 전문위원회 신설·운영을 통한 사업선정평가·관리체계 개편 IT시스템 고도화로 투명하고 공정한 경영시스템을...
8,[IT칼럼]AI 윤리 교육이 빈곤한 사회
8,심의 요청 게임 위해(危害) 모델링 공동체 배심원 등으로 구성된 이 방법론은 기술 제품의 디자인 단계에 관여해 윤리적 결과물을 도출하는 데 활용된다. 윤리의 공백 상태에 빠져 있는 데이터 과학 인공지능 기술...
