label,sentence
2,최혜진 KLPGA 투어 시즌 첫 승 도전…안송이는 '반갑다 영암'
2,휴엔케어 여자오픈 22일 전남 영암에서 개막 한국여자프로골프(KLPGA) 투어 대상 포인트 1위 최혜진(21)이 시즌 첫 승에 도전한다. 최혜진은 22일부터 나흘간 전남 영암의 사우스링스 영암컨트리클럽(파72·6천420야드)...
2,3년 연속 '매 시즌 1승' 지은희 LPGA 신설 대회 우승 도전
2,미국 여자프로골프(LPGA) 투어 신설 대회에 한국 선수 7명이 도전장을 던진다. '맏언니' 지은희(34)가 이... 또 최운정 신지은도 우승에 도전할 만 한 베테랑들이다. 해외 골퍼들 중엔 우승 후보들이 많다. 시즌 2승을...
2,'트로트의 민족' 지역 단장x도전자 80팀 담은 포스터 공개
2,'트로트의 민족'이 8개 지역 응원단장과 도전자 80팀의 프로필을 담은 공식 포스터 2종을 선보였다. 국내 최초 K-트로트 지역 대항전 MBC '트로트의 민족' 측은 20일 전국 8개 지역 응원단장으로 구성된 포스터와 각 지역...
2,'트로트의 민족' 지역 단장＆도전자 80팀 담은 2종 포스터 공개
2,MBC 초대형 프로젝트 ‘트로트의 민족’이 8개 지역 응원단장과 도전자 80팀의 프로필을 담은 공식 포스터 2종을 선보였다. 23일(금) 첫 방송하는 국내 최초 K-트로트 지역 대항전 ‘트로트의 민족’은 전국 8개 지역...
2,우즈 '텃밭' 셔우드CC서 PGA투어 최다승 도전
2,'골프 황제' 타이거 우즈(미국)가 미국프로골프(PGA)투어 최다승에 도전한다. 오는 22일(현지시간)부터... 43승째에 도전한다. 미켈슨도 우즈와 마찬가지로 US오픈 이후 한 달여만의 PGA투어 출전이다. '코리안 브라더스...
2,'요트원정대'가 남긴 것…진구  내 인생의 터닝포인트가 된 도전 
2,MBC에브리원 '요트원정대'는 모험을 꿈꿔왔던 네 남자가 요트를 타고 태평양 항해에 도전하는 과정을 담은... 특히 진구는 이 항해가  내 인생의 터닝 포인트가 된 도전 이라고 밝혀 눈길을 끌었다. 진구는 뱃멀미로 힘들...
2,SKT ‘점프 AR·VR’로 K콘텐츠 도전장…”수익보단 가입자 확보부터”
2,점프 AR·VR 서비스 2021년 1000만 가입 목표 DT·T모바일과 협력 논의 중 가상현실 플랫폼 ‘버추얼서밋' 공개 SK텔레콤이 ‘점프 AR·VR 서비스’의 1000만 가입자 달성 계획과 함께 그전까지 유료화를 하지 않겠다는...
2,장흥군 스포츠메카 도전 날개 달다
