label,sentence
2,IBM ‘클라우드 팩 포 시큐리티’에 AI 등 신기술 추가
2,클라우드 채택과 원격 근무로 기존 IT의 경계가 무너지면서 보안 대응 팀에게는 하이브리드 클라우드 환경의 보안에 대한 더욱 심층적인 통찰력을 갖는 것이 도움이 된다. 기존에는 사용자 행동 아이덴티티 및...
2,차세대 지방재정관리시스템 SK㈜ C&C도 뛰어든다···판 커지는 공공 IT시장
2,블록체인 빅데이터 등 신기술을 접목한다. 업계 관계자는 “최근 공공 차세대 사업 클라우드 대부분이 핵심 인프라로 포함되면서 KT도 공공 대형 사업 참여에 관심을 보이고 있다”고 말했다. 올해 공공 IT서비스...
2,비싸다는 오해 그만…가격 절반 낮춘 다이슨 무선청소기 [배성수의 다다IT선]
2,직선 형태의 슬림한 먼지통을 갖춘 옴니 글라이드는 손으로 한 번만 밀어내면 먼지통을 깨끗이 비울 수 있는 신기술이 장착됐습니다. 덕분에 먼지가 밖으로 새지 않아 편합니다. 또 본체는 모두 분리가 가능해 먼지통...
2, 더 쉽고 간편하게  자체 플랫폼 앞세워 AI 세일즈 나선 IT 업계
2,국내 IT업계에도 서비스형 AI(AIaaS) 바람이 거세지고 있다. 클라우드 기반의 AIaaS는 별도의 구축 과정 없이... AIaaS는 코로나19로 그 어느때보다 높아진 디지털 신기술 도입에 대한 기업들의 수요에 대응하기 효과적일...
2,지멘스 웨비나 전문방송 MTV에서 오는 28일 “OT/IT 융합시대 맞춤 스마트 솔루션 SIMATIC HMI & SCADA” 소개
2,지멘스는 10월 28일 오후 2시부터 웨비나 전문방송 MTV(매뉴팩쳐링TV)에서 'OT/IT 융합시대 미래 트랜드 맞춤... 둘째 신기술의 기하급수적인 발전이다. 컨슈머 시장의 트렌드가 제조업에도 영향을 끼치고 있다. 셋째...
2,토마토시스템 2020 교육정보화 신기술 세미나서 '엑스빌더6' 소개
2,소프트웨어(SW) 전문업체 토마토시스템(대표 이상돈)이 지난 15일 강릉 탑스텔호텔에서 열린 '2020 교육정보화 신기술 세미나'에 참가해 자사의 UI솔루션 '엑스빌더6'를 소개했다고 밝혔다. 한국교육전산망 경기·인천지역...
2,SW ·솔루션에 집중하는 삼성SDS…IT서비스 ‘업의 본질’에 충실한 것일까
2,최근 디지털 트랜스포메이션이 글로벌 시장에서 화두가 되면서 이를 지원하기 위한 IT신기술이 쏟아져 나오고 있는 상황이다. 새로운 시장이 형성된다는 것은 전통의 강자가 없는 시장이라는 의미다. 삼성SDS는...
2,[IT과학칼럼] 사람을 위한 기계 ‘로봇’
2,이번 포럼에서는 의료·제조·서비스·휴머노이드 등 최첨단 로봇기술에 대한 동향 기술적 도약을 위해 반드시 해결해야 할 과제 인공지능과 5G통신 등 신기술이 로봇과 접목해 새롭게 펼쳐질 미래 그리고 실제 응용...
2,IT 기업 아사달 전기자동차 사업 진출
2,업력 20년의 IT 전문기업 아사달(대표 서창녕)이 전기자동차 사업에 뛰어들었다. 1998년 설립된 아사달은... 분야에서 신기술 경쟁은 자동차를 둘러싸고 벌어질 것 이라고 말했다. 이어  이번엔 신사업으로 전기자동차...
2,[이슈분석]IT전산 '10년 주기 교체' 탈피...'직관 서비스'로 언택트 대응
2,디지털 기술 기반 업무 운영 자동화 중장기로는 IT인프라 개선을 통해 운영 비용을 대폭 절감하는 가격 파괴를 지향한다. 또 신기술을 활용해 극강의 편리함을 창출하고 고도의 데이터 분석을 통한 초개인화 맞춤 금융...
2,영진전문대 졸업생 올해도 日 IT기업 잇따라 취업
2,NHN재팬 인사부서 관계자는 “학생들을 면접한 결과 IT 분야 신기술에 대한 도전 정신과 커뮤니케이션 능력이 높게 평가되는 등 성장 가능성이 보여 채용을 결정했다”고 대학 측에 전했다. 영진전문대 관계자는...
2,IBM IT 인프라 분사한다
2,IT 사업부는 신기술이 아닌 지금까지 IBM이 추진해 온 전통적인 사업에 해당된다. 전체 IBM의 25% 수준이며 새로운 상장 기업으로 키운다는 것이 IBM의 설명이다. 최근 IT 사업부의 매출이 축소되는 한편 성장성이...
2,[오늘Who] 정용진 이마트24 결단 IT전문가 김장욱 무인화로 간다
2,또 신기술에 관심이 많은 젊은 층이 편의점의 주요 고객이라는 점도 IT기술 시험적용에 유리한 측면이다. 정 부회장은 인공지능과 빅데이터 등 4차산업혁명 기술을 유통사업에 접목하기 위해 그룹 차원에서 투자를...
2,[IT 칼럼] 규제 샌드박스의 성과
2,과학기술정보통신부는 지난달 '신기술·서비스 심의위원회'를 개최해 '배달로봇' 등 5건에 대해서는 제품... 정보통신기술(ICT) 규제 샌드박스 지정기업의 누적 매출액이 158억 9000만원을 넘어섰으며 투자 유치 규모도 237억...
2,LG디스플레이 신기술 발굴 위해 '테크포럼' 개최
2,미래 신기술 발굴 및 전략적 협력 강화에 나선다. LG디스플레이는 정호영 사장과 강인병 부사장(CTO)이... 협업을 펼쳐나가겠다 고 밝혔다. By 정소연 (코리아아이티타임즈/코리아IT타임스/koreaittimes/ittimes/Korea IT Times)
2,디지털 혁신 만이 살길…금융권 ‘IT 인재’ 모시기
2,IT서비스 개발 및 운영 신기술 기반 업무 담당자 등을 뽑는다. IT 분야 자격증 보유자를 우대해준다. 14일까지 이뤄지는 입사지원에 이어 코딩테스트 실무면접(PT면접)과 인성면접으로 최종 합격자를 선발한다....
2, ICT 규제 샌드박스로 신기술·서비스 37건 출시 
2,과학기술정보통신부(이하 과기정통부)는 정보통신기술(ICT) 규제 샌드박스 제도 시행 이후 총 37건의... 신규 IT 인프라를 확충했다. 사회적 비용 절감 효과도 나타났다. '모바일 전자고지'를 통한 우편비용 절감과...
2,‘바람의나라’ 끌어내린 中 게임 ‘원신’…RPG 명가 자존심을 건들다[신무경의 Let IT Go]
2,중국 게임회사 미호요가 내놓은 신작 다중접속역할수행게임(MMORPG) ‘원신’의 반응이 뜨겁습니다. 지난달 28일 중국 게임으로는 처음으로 한국을 비롯한 전 세계 150여 개 국에 동시 출시됐는데요. 국내에서는 9일 만에...
2,제주 IT 융합 신기술 분야 핵심인재 양성
2,제주대학교 공학교육혁신센터(센터장 안기중)는 지난달 18일부터 27일까지 6일간에 걸쳐 '2020 안드로이드 앱 개발 교육과정'을 개최했다. 이 교육과정은 안드로이드 앱 개발과 AWS(Amazon Web Services) 기반 아키텍처 설계...
2,IT 기업 아사달 전기자동차 사업 진출
2,업력 20년의 IT 전문기업 아사달(대표 서창녕)이 전기자동차 사업에 뛰어들었다. 1998년 설립된 아사달은... 분야에서 신기술 경쟁은 자동차를 둘러싸고 벌어질 것 이라고 말했다. 이어  이번엔 신사업으로 전기자동차...
2,‘국민내일배움카드’ 취업 우수 직종은…서울 '법률'·대전 'IT'·부산 '자동차'
2,정보‧기술 분야의 경우 대전 서울 광주 등 다수 지역의 상위 직종에 포함돼 있으며 이는 디지털‧신기술 분야의 인력 수요 증가에 따른 것으로 분석된다. 청년‧여성‧중장년이 많이 찾는 훈련 직종과 취업률이...
2,[조재환의 카테크] 현대차 IT 신기술 상징 투싼 4세대 제품은 어떨까
2,현대차가 3세대 투싼을 통해 음성인식 기술을 선보이는 모습 (사진=지디넷코리아) 현대차는 2018년 3세대 투싼의 페이스리프트 모델을 출시하면서 IT 신기술 뿐만 아니라 동급 최초로 고속도로 주행보조(HDA) 기술을...
2,BNK금융그룹 IT인프라 공동 운영 첫 삽… ‘그룹 공동존 기반 인프라 구축’ 나서
2,부산은행과 경남은행 등 핵심 금융사에 대한 이원화된 IT전략을 구사하고 있는 BNK금융그룹이 두 은행을... 여기에 노후 장비 교체 시 네트워크 인프라 신기술 접목을 추진하는 한편 금융업무 운영 및 계열사 연동에 따른...
2, IT 신기술 접목  KB국민은행 'KB InsighT 패널위원회' 출범
2,이우열 KB국민은행 IT그룹 부행장은  디지털 혁신의 전진기지 격인 'KB InsighT'는 미래의 영업점 모델과 신기술을 구현하는 테스트베드(Test Bed) 역할을 하고 있다 며  앞으로 여러 IT 전문가들의 통찰력을 더해...
2,IT기업 개발자 수요 늘자…직장인 절반  개발자 전직할래요 
2,인크루트 관계자는  개발자 외에도 직·간접적으로 해당 직무를 소화할 인력수요 증대 역시 필수적 이라며  향후 IT 신기술분야 직무 인기는 더욱 높아질 것 으로 내다봤다.
2,삼성SDS 세계 IT서비스 기업 브랜드 가치 '11위'
