label,sentence
3,세븐틴이 전한 공감 에너지 “열심히 달린 청춘 잠깐 쉬어가요”
3,그룹 세븐틴이 힘들고 지친 청춘들에게 공감과 에너지를 전했다.세븐틴은 지난 19일 스페셜 앨범 ‘ [Semicolon](세미콜론)’을 발매하며 돌아왔다. 이날 오후 앨범 공개에 앞서 온라인 기자간담회를 연 세븐틴은...
3,'불새2020' 이재우  이서진처럼 할 수 있을 지 의문…모자라지만 열심히 
3,많이 모자라지만 열심히 하겠다 라고 각오를 전했다. 이서진과 차별화된 이재우표 장세훈의 매력을 묻는 질문에 그는  이서진 선배님이 가지고 계신 묘한 시크함이 있다. 반면에 전 태생적으로 시크함은 없다 며  굳이...
3,세븐틴  열심히 달려온 청춘 잠시 숨 고르고 가요 
3,스페셜앨범 '세미콜론'… '홈런' 쳐서 팬들에게 사랑 보낼게요   지금 이 순간도 열심히 달리고 있을... 호시는  늘 우리의 자리에서 열심히 음악을 하면서 계속해서 성장하고 발전해 왔다 며  언제나 그랬듯이 좋은 음악과...
3,설운도 ‘감독으로 열심히 하는 모습 보여줄게요’(트롯 전국체전)[포토엔HD]
3,가수 설운도가 10월 20일 오전 KBS 2TV '트롯 전국체전' 녹화를 위해 서울 여의도 KBS 신관으로 출근하고 있다. '트롯 전국체전'의 전국 8도 감독으로는 주현미 김수희 김범룡 조항조 남진 설운도 고두심 김연자가...
3,“일반인 비후성심근증 환자 열심히 운동하세요”
3,특히 일반인 비후성심근증 환자는 운동을 열심히 할수록 사망 위험이 낮아지는 것으로 밝혀졌다.... 특히 일반인 비후성심근증 환자는 운동을 열심히 할수록 사망 위험이 감소한 것으로 나타났는데 이같은 연구 결과는...
3,송가인 ‘열심히 하는 코치 모습을 보여줄게요’(트롯 전국체전)[포토엔HD]
3,가수 송가인이 10월 20일 오전 KBS 2TV '트롯 전국체전' 녹화를 위해 서울 여의도 KBS 신관으로 출근하고 있다. '트롯 전국체전'의 전국 8도 감독으로는 주현미 김수희 김범룡 조항조 남진 설운도 고두심 김연자가...
3,[포토] 임창정 홍보 열심히 하고 있다.
3,가수 임창정이 19일 오후 경기도 파주 예스아이엠 엔터테인먼트에서 진행되는 16집 앨범 쇼케이스에 참석해 포토타임 행사를 갖고있다. 16집 앨범은 진한 가을 감성을 옯겨놓은 다양한 장르로 채워졌다....
3,‘드라마스페셜 2020’ 측 “기대 충족시킬 수 있도록 열심히 준비 중”
3,먼저 '나의 가해자에게'(연출 나수지/극본 강 한)는 '누구도 소외되지 않는 학교'를 꿈꾸며 열심히 살아가던... 드라마 팬들의 기다림과 기대를 충족시킬 수 있도록 열심히 준비하고 있으니 많은 관심과 기대...
3,[MD포토] 치어리더 김다정 '마스크 쓰고 열심히 응원해요'
3,오리온 치어리더 김다정이 19일 오후 경기도 고양실내체육관에서 열린 2020-2021 프로농구 오리온-LG 경기에서 멋진 응원을 선보였다.
3,‘굿모닝FM’ 로꼬 “軍면회실서 요식업+프로듀서 미팅도 열심히 노력”
3,가수 로꼬가  군대 면회실에서 자기계발을 위해 열심히 노력했다 고 말했다. 로꼬는 10월 20일 방송된 MBC... 할 것 같아 최대한 열심히 노력했다 고 말했다. (사진=MBC FM4U 보이는 라디오 캡처) 뉴스엔 황혜진 blossom@
3,스텔라 출신 가영  SNS 응원 메시지 울컥…더 열심히 살겠다 
3,그러면서 가영은  하지만 여러분 메시지 하나하나가 정말 저에게 큰 힘이 되었다는 거 꼭 알아주셨으면 좋겠어요 라며  앞으로 많은 분들의 소중한 응원에 보답할 수 있께 더 열심히 살게요! 그래서 저 또한 누군가에게...
3,손품 열심히 팔았더니…어? 대출금리 내려갔네
3,30대 직장인 A씨는 퇴근길에 토스 앱을 켰다. 신용점수가 꽤 올랐다는 공지가 떴다. 은행 창구는 이미 문을 닫은 시간. 곧바로 우리은행의 모바일 앱인 우리WON뱅킹에 접속했다. 3300만원을 대출받아 기존 신용대출을...
3,아스필리쿠에타  케파 좋은 경기력 위해 열심히 할 거라 믿어 
3,케파가 이 상황을 반전시키기 위해 열심히 훈련할 거라는 것에 대해 의심하지 않는다 라며 케파에 대한... 골키퍼의 경우 전혀 다른 상황이지만 케파는 최선을 다하면서 계속 열심히 훈련할 것이다 고 덧붙였다.
3,[종합] 세븐틴  '세미콜론'처럼 열심히 달리는 청춘들의 '쉼터' 됐으면 
3,마라톤을 완주할 수 있게 사이사이에 숨을 고를 수 있는 쉼터가 있는 것처럼 꿈을 향해 열심히 달리는 청춘들에게 거점이 될 수 있는 활동이 됐으면 좋겠다 라는 진심을 전한 세븐틴이 이번 앨범을 통해 어떤 에너지를...
3,'정희' 고아성X이솜X박혜수  '삼토반' 1995년 재현 위해 열심히 준비 
3,또한 이솜은 갈매기 눈썹 등에 대해  그 시대를 아시는 분들은 알아봐주시길 원해서 열심히 준비했다 라고 전했다. 한편 고아성 이솜 박혜수가 출연하는 영화 '삼진그룹 영어토익반'은 1995년 입사 8년차 업무능력은...
3,임창정  오늘도 스케줄 5개..성적 연연하며 열심히 홍보 중 
3,가수 임창정이 성적에 연연하면서 열심히 앨범을 준비했다며 큰 사랑을 당부했다. 임창정은 19일 오후... 녹음도 오래 했고 각종 프로그램에 출연하면서 열심히 홍보도 하고 있다. 작년에 발매한 15집이 홍보가 덜 된...
3,몬스타엑스 기현  몬베베에게 자랑스러운 존재 앞으로 열심히!  [화보]
3,그랬더니 팬분들이 '네가 나에게 그런 존재'라고 말씀해주셨다. 감동받았다. 가수가 안되었다면 이렇게나 큰 사랑을 받을 수 없었을 것이다. 앞으로 진짜 열심히 해야한다 라며 웃었다.
3,인천 부평구 열심히 일하는 공직생활 환경 조성 앞장!
3,인천 부평구가 적극 행정 면책 제도 진행으로 공직자가 열심히 일할수 있는 환경 조성에 나섰다. 19일 구는 인천시와 함께 코로나19 위기 극복 및 지역 경제 활성화를 위한 사전 컨설팅을 추진하고 있다. 이외에도 각종...
3,'미우새' 배정남 故차순남 할머니 향한 그리움  더 열심히 살게요  다짐
3,부모님의 빈자리를 채워준 할머니의 영정 앞에서 한동안 말을 잇지 못한 정남은  더 열심히 살게요   계실 때 더 잘해 드릴 걸 이라며 아쉬움을 드러냈다. 뒤늦게 차순남 할머니의 소식을 알게 된 母벤져스 역시 정남의...
3,[MD포토] 치어리더 김다정 '마스크 쓰고 열심히 응원해요'
3,오리온 치어리더 김다정이 19일 오후 경기도 고양실내체육관에서 열린 2020-2021 프로농구 오리온-LG 경기에서 멋진 응원을 선보였다.
3,재판 넘겨진 정정순 “의원은 국감을 열심히 해야”
3,15일 공소시효 만료… 검찰 “선거법 위반만 기소” 檢 불출석 이유 묻는 질문엔 “국감을 열심히 해야”... 뉴스1 ◆불출석 이유 묻자 정 의원 “국감을 열심히 해야” 검찰은 정 의원을 기소하기에 앞서 지난 8월 중순부터...
3,개리 집 공개  세상과 타협하며 열심히 일했다 
