label,sentence
3,반독점 제소 구글 직원들 동요? CEO  하던 일 열심히 
3,일을 열심히 해달라는 취지의 이메일을 직원들에게 보냈다고 미 CNBC가 보도했다. 피차이는 이 글에서... 계속 열심히 해달라 고 당부했다. 구글 최고 법률 고문인 켄트 워크는  우리의 일에 대한 거친 비판과 오도하는...
3,‘오뚜기 3세’ 함연지 “타사 라면 정말 맛있더라. 열심히 해야겠다는 생각 들어”
3,열심히 해야겠다는 생각이 들었다 고 말해 웃음을 유발했다. 그는 최근 한 예능프로그램에서 타사 라면을 처음 먹어봤다고 밝혀 화제가 된 바 있다. 또 부모님이 경영을 이어가기를 원하지 않았냐는 질문에 대해서는...
3,[포토] '젊은이의 양지' 김호정 '열심히 살아온 인물'
3,사진 배우 김호정이 21일 오후 서울시 용산구 CGV 용산아이파크몰에서 진행된 영화 '젊은이의 양지' 언론배급 시사회에 참석해 질문에 답하고 있다.'젊은이의 양지'는 카드 연체금을 받으러 갔다가 사라진 후 변사체로...
3,SK이노 지동섭 대표  LG화학과 소송 K-배터리에 악영향…열심히 협의 중 
3,보고 열심히 협의 중 이라고 밝혔다. 지 대표는 21일 서울 강남구 코엑스에서 열린 '인터배터리 2020'에서... 위해 열심히 노력 중 이라고 덧붙였다. 다만  자세히 말하기는 어렵다 고 말을 아꼈다. 미국...
3,[포토] 알렉사 열심히 준비 했어요! 많은 관심 주세요
3,가수 알렉사가 21일 오후 온라인으로 진행되는 두번째 미니앨범 ‘DECOHERENCE(디코히런스)’ 쇼케이스에 참석해 포토타임 행사를 갖고 있다. 지난해 10월 첫 번째 디지털 싱글 ‘Bomb’을 통해 '멀티버스(다중...
3,세븐틴이 전한 공감 에너지 “열심히 달린 청춘 잠깐 쉬어가요”
3,그룹 세븐틴이 힘들고 지친 청춘들에게 공감과 에너지를 전했다.세븐틴은 지난 19일 스페셜 앨범 ‘ [Semicolon](세미콜론)’을 발매하며 돌아왔다. 이날 오후 앨범 공개에 앞서 온라인 기자간담회를 연 세븐틴은...
3,“일반인 비후성심근증 환자 열심히 운동하세요”
3,특히 일반인 비후성심근증 환자는 운동을 열심히 할수록 사망 위험이 낮아지는 것으로 밝혀졌다.... 특히 일반인 비후성심근증 환자는 운동을 열심히 할수록 사망 위험이 감소한 것으로 나타났는데 이같은 연구 결과는...
3,‘유리한 식탁’ 제재 소시 유리 만나 성덕 인증 “공부 열심히 했다”
3,이게 바로 성덕 입니다”며 소리 쳤고 “이러려고 공부를 그렇게 열심히 했다”고 너스레를 떨기도 했다. 재재는 ‘유리한 식탁’에 출연하기 위해 어머니께 부탁해 레시피를 받아왔다며 ‘엄마표 잔치국수 레시피’를...
3,'불새2020' 이재우  이서진처럼 할 수 있을 지 의문…모자라지만 열심히 
3,많이 모자라지만 열심히 하겠다 라고 각오를 전했다. 이서진과 차별화된 이재우 표 장세훈의 매력을 묻는 질문에 그는  이서진 선배님이 가지고 계신 묘한 시크함이 있다. 반면에 전 태생적으로 시크함은 없다 며  굳이...
3,스텔라 가영  응원 메시지에 울컥..더 열심히 살게요 
3,그러면서 가영은  앞으로 많은 분들의 소중한 응원에 보답할 수 있게 더 열심히 살겠다. 그래서 저 또한 누군가에게 힘이 되는 사람이 되겠다 고 다짐했다. 가영은 최근 MBN 예능프로그램 '미쓰백'에 출연하며 스텔라 활동...
3,[N인터뷰]③ 박은빈  20대 열심히 살며 견뎠다…'브람스'로 마무리 
3,▶열심히 살았다. 마냥 행복한 일만 있었던 것도 아니고 성장할 만한 어려운 시간도 있었지만 나름 잘 보내서 송아처럼 더 단단한 사람이 된 것 같다. -송아와 비슷한 감상을 느끼기도 했나. ▶송아가 바이올린을 진심으로...
3,송소희 귀여운 베이비 페이스.. 열심히 살게요! 
3,20일 국악소리가 송소희는 자신의 인스타그램에  모두 감사합니다♥ 열심히 살게요! 라는 게시글과 함께 여러 장의 사진을 게재했다. 사진 속 송소희는 화장기 없는 민낯으로 베이비 페이스의 정석을 보여줬다. 귀엽고...
3,설운도 ‘감독으로 열심히 하는 모습 보여줄게요’(트롯 전국체전)[포토엔HD]
3,가수 설운도가 10월 20일 오전 KBS 2TV '트롯 전국체전' 녹화를 위해 서울 여의도 KBS 신관으로 출근하고 있다. '트롯 전국체전'의 전국 8도 감독으로는 주현미 김수희 김범룡 조항조 남진 설운도 고두심 김연자가...
3,요즘 열심히 일하네요… 류호정 의원이 또 큰 건을 잡았습니다
3,류호정 정의당 의원이 국정감사에서 한국가스공사가 부당해고와 행정소송으로 직원 정규직화를 막았다고 꼬집었다. 류 의원은 20일 산업통상자원중소벤처기업위원회 국감에서 이 같이 밝히면서 채희봉 한국가스공사...
3,[단독] '비 소속사 신예' 오예주 측  큰 관심 감사해 열심히 준비중 
3,이어 비는  나이는 17살이고요 발전하는 모습 보여드린다며 하루하루 열심히 연습하고 있습니다. 많은... 이어 오예주 측은  배우로서 좋은 모습 보여드릴 수 있도록 본인도 열심히 준비 중이고 회사에서도 아낌 없이...
3,송가인 ‘열심히 하는 코치 모습을 보여줄게요’(트롯 전국체전)[포토엔HD]
3,가수 송가인이 10월 20일 오전 KBS 2TV '트롯 전국체전' 녹화를 위해 서울 여의도 KBS 신관으로 출근하고 있다. '트롯 전국체전'의 전국 8도 감독으로는 주현미 김수희 김범룡 조항조 남진 설운도 고두심 김연자가...
3,스텔라 가영  응원 메시지에 울컥..더 열심히 살게요 
3,그러면서 가영은  앞으로 많은 분들의 소중한 응원에 보답할 수 있게 더 열심히 살겠다. 그래서 저 또한 누군가에게 힘이 되는 사람이 되겠다 고 다짐했다. 가영은 최근 MBN 예능프로그램 '미쓰백'에 출연하며 스텔라 활동...
3,세븐틴  열심히 달려온 청춘 잠시 숨 고르고 가요 (종합)
3,길고 긴 인생에서 꿈을 향해 열심히 달리는 청춘들이 숨을 한 번 고르고 더 큰 전진을 할 수 있도록 하는 거점 같은 앨범이 됐으면 좋겠습니다.  (호시) 보이그룹 세븐틴이 19일 지친 청춘의 기운을 북돋는 스페셜 앨범으로...
3,정가은 딸 요청에 열심히 빚은 클레이점토  똥손 엄마의 노력 
3,이번에 함께 공개된 사진에는 정가은이 딸의 요청에 클레이점토로 열심히 만든 변기 세면대 등의 모습이 담겨 있다. 무엇보다 정가은은 에너지 방전됐다고 털어놔 엄마들의 공감을 샀다. 한편 정가은은 현재 tvN 예능...
3,'소리도 없이' 유재명  열심히 산 지난날 흰머리 칭찬해 주고파 [SS인터뷰]
3,나 역시 항상 고민하고 있고 과연 열심히 했냐고 스스로에게 되묻는다. 이런 마음 가짐을 잊지 않으려고... 마지막으로 그는 “열심히 달려온 결과 수없이 좋은 작품들을 만날 수 있었고 이번에도 ‘소리도 없이’에...
3,조보아 정혜성 커피차에 감동  열심히 마치고 얼른 데이트하자 
3,열심히 마치고 얼른 데이트하자 우리 혜성이!! 라고 덧붙였다. 이번에 공개된 사진에는 배우 정혜성 백승룡 PD가 tvN 수목드라마 '구미호뎐' 촬영장에 보내준 커피차의 모습이 담겨 있다. 무엇보다 조보아는 정혜성과의...
3,[포토] SK 최정 열심히 뛰었는데...
3,SK 와이번스 최정이 20일 문학 삼성전에서 2-6으로 뒤진 4회 이재원의 안타로 1루에서 홈으로 뛰어들다 태그아웃된 뒤 아쉬워하고있다. 2020.10.20.
