label,sentence
4,고흥군-안산시 우호교류 협약…행정 등 민간 교류 추진
4,전남 고흥군은 경기 안산시와 교류협력과 상생 발전을 위한 우호교류 협약을 했다고 20일 밝혔다. 고흥군과 안산시는 지난해 6월 농협의 사업 교류를 시작으로 상호 교류에 대한 공감대를 형성했다. 협약에 따라...
4,한·덴마크 의약품 임상시험 정보 교류 강화
4,식품의약품안전처는 덴마크 의약품청과 임상시험 분야 발전방안을 논의하고 정보교류 등 협력을 강화하기... 식약처는 “임상시험 분야 발전을 위해 해외 규제당국과 활발하게 교류해 코로나19 상황에서 안전하고...
4,안산시 전남 고흥군과 교류 협약
4,인천일보 INCHEONILBO 안산시는 전남 고흥군과 우호 교류 협약을 체결하고 두 도시의 공동번영과 상호교류를 통한 상생발전을 위해 협력하기로 했다고 20일 밝혔다. 전날 고흥군청에서 진행된 협약식에는 윤화섭 안산시장과...
4,세종대 인덕대와 교육프로그램 교류를 위한 MOU 체결
4,인적 교류를 목적으로 상호 협력한다. 배덕효 세종대 총장은 “인덕대는 우리나라 최고의 전문대학이다. 이번 업무협약 체결을 통해 앞으로 세종대와 인덕대가 원격교육 발전에 주도적 역할을 하게 되기를 소망한다”라고...
4,국정감사 이근 한국국제교류재단이사장 업무보고
4,19일 국회에서 열린 외교통위원회의 한국국제협력단 한국국제교류재단 재외동포재단에 대한 국정감사에서 이근 한국국제교류재단이사장이 업무보고를 하고 있다. (공동취재사진) 2020.10.19. photo@newsis.com...
4,SKT 'AI기술교류의 장' 누구 콘퍼런스 2020 개최
4,SK텔레콤은 오는 20일 온라인을 통해 인공지능(AI) 기술 교류의 장인 '누구(NUGU) 콘퍼런스 2020'을 개최한다. 19일 SK텔레콤에 따르면 3회차를 맞은 ‘누구 컨퍼런스’는 SK텔레콤이 국내 AI 생태계 조성을 위해 개발자 및...
4,전남대 생체의료시험연구센터 교류세미나 가져
4,위한 교류세미나’가 지난 10월 14일 광주과학기술진흥원 6층 회의실에서 열렸다. 전남대학교생체의료시험연구센터(센터장 박상원 교수) 주관으로 열린 이날 교류세미나에서 김상영 책임연구원(광주과학기술원)은...
4,수원시 '비대면 국제교류' 랜선·우편 총동원
4,경기 수원시가 코로나19 확산으로 국제자매(우호·협력) 도시와 직접 교류가 어려워지면서 '비대면 국제교류'에 적극적으로 나선다고 지난 19일 밝혔다. 시는 수원화성문화제에 매년 국제자매(우호·협력) 도시 대표단을...
4,국제교류복합지구 인근 '리버시티 자양' 조합원 모집 마감 임박
4,이는 서울 국제교류복합지구(SID) 추진이라는 굵직한 호재에다 실거주목적의 수요층이 유입되고 있는데 따른 것으로 풀이된다. 서울시는 잠실과 코엑스 일대에 서울 국제교류복합지구 영동대로 광역복합환승센터...
4,황소윤X품 비푸릿 오늘(20일) 콜라보 싱글 발매 “2년간 교류-무대 거쳐 완성”
4,(황소윤)은 “품과의 첫 만남부터 2년여간의 교류와 무대를 거쳐 드디어 곡이 완성되었습니다. 진정한 의미의 협업을 알게 해준 좋은 곡입니다. 윙스가 여러분의 동화가 될 수 있길 바랍니다. 현실의 무력함을...
4,'같은 듯 다른' 창작무용…강원-전북도립무용단 21일 교류 공연
4,강원도립예술단과 전북도립국악원 교류 공연인 '초록 동색'이 21일 오후 7시 30분 춘천문화예술회관에서 무대에 오른다. 이번 공연은 국공립 예술단체와 함께하는 교류사업의 하나로 신종 코로나바이러스 감염증(코로나19)...
4,한국국제교류재단 국민 인지도 17.8%에 불과
4,정진석 의원 외교부 산하 한국국제교류재단(KF)의 '국민 인지도'가 17.8%에 불과하고 제주도 이전 후에도... 한국국제교류재단의 대(對) 국민 인지도 부족과 제주혁신도시 이전 후 퇴사 등 인재 유출로 인한 업무...
