label,sentence
4,대전주거복지사회적협동조합 소속기관 4곳 '착한가게' 단체가입
4,대전사회복지공동모금회는 21일 파랑새건축 협동조합 마루인테리어 행복이 가득한 집 ㈜다온홈리페어 등 대전주거복지사회적협동조합 소속 기관 4곳의 착한가게 단체가입식을 개최했다. 이날 행사에 참여한...
4,용인시 시 서점협동조합서 장학기금 800만원 기탁
4,용인시 서점협동조합 관계자들이 장학기금 800만원을 기탁하고 백군기 시장(왼쪽 여섯 번째)과 기념촬영을 하고 있다. [사진=용인시]  용인시는 20일 최준용 용인시 서점협동조합 조합장 등 10명이 백군기 시장실을...
4,연예인협동조합 첫 프로젝트 '홈 인 스토리' 11월 5일 오후 3시 첫방송!
4,(자료: TRA미디어) 연예인협동조합과 TRA미디어그룹이 공동 제작한 '홈 인 스토리'가 총 4회분에 걸쳐... 지난 4월 설립된 연예인협동조합은 신종 코로나바이러스 감염증(코로나19) 여파로 집에 머무는 시간이...
4,SK이노베이션 울산CLX UNIST와 함께 산학연 협동
4,SK이노베이션 울산CLX가 UNIST(울산과학기술원)와 공동으로 이산화탄소(CO2) 저감 시스템 실증화 사업을 진행하기로 했다고 21일 밝혔다. 이를 통해 내부적으로는 SK이노베이션이 환경 부정영향을 제로(0)로 만들겠다는...
4,발레STP협동조합 '발레 스페셜 갈라' 31일 온라인 생중계
4,발레STP협동조합은 오는 31일 오후 6시 서울 서초구 예술의전당 CJ토월극장에서 여는 ‘발레 스페셜 갈라’... 발레STP협동조합의 대표적인 공연 프로그램이다. 클래식·모던·창작발레 등 다양한 발레 갈라 프로그램을...
4,[김인선의 같이가치] 5. 협동과 연대의 시간
4,선물하던 '작은영화관사회적협동조합'(이하 작은영화관)의 잇따른 영화관 폐쇄와 고용조정이라는 우울한... 서울 관악지역 서로돌봄사회적협동조합(이하 서봄)은 대면 돌봄이 어려워지자 온라인으로 서비스를 공급하기...
4,협동조합 정치카페 ‘하우스’국회 앞에 문 열었다···오세훈·유승민·원희룡도 방문
4,국민의힘 원내외 인사들이 협동조합 형태로 만든 정치카페 하우스(how’s)가 21일 서울 여의도 국회 앞에서... 협동조합 형태로 150여명의 참여해 출자했다. 원내에서는 새보수당 출신인 유의동·김웅 국민의힘 의원 등이...
4,용인시 시 서점협동조합서 장학기금 800만원 기탁
4,20일 용인시 시 서점협동조합 최준용 조합장 등 10명이 백군기 시장실을 방문해 800만원의 장학기금을... 백 시장은 “용인시 서점협동조합이 장학기금을 기탁해줘 감사하며 공공도서관 뿐 아니라 동네서점이 지역의...
4,네이버 로봇 업체 2곳에 투자…치매예방 협동로봇 기술 보유
4,투자 대상은 스타트업은 로봇 활용 치매 예방 솔루션 개발 업체 '와이닷츠'와 협동로봇의 안전성 분석 진단... 세이프틱스는 협동로봇의 안전성을 분석 및 진단하고 최적의 모션을 제안하는 솔루션을 개발한다. 로봇의...
4,<포토> 협동조합 정치카페 '하우스(How's)
4,하우스 이사장을 맡고 있는 오신환 전 미래통합당 의원이 21일 오후 서울 여의도 협동조합 정치카페 '하우스(How's)'에서 공식 오픈을 앞두고 기자회견을 하고 있다. 데일리안
4,대구경북로컬푸드 전국 첫 이종협동조합연합회 인가
4,대구경북로컬푸드이종협동조합연합회는 기획재정부로부터 전국 첫 이종협동조합연합회 설립 인가를 받았다. 19일 대구시에 따르면 대구·경북 10개 협동조합이 참여한 로컬푸드이종협동조합연합회가 설립 인가를...
4,로컬푸드와 함께하는 세상 <13> 경기남부두레생활협동조합
4,‘경기남부두레생활협동조합’이 그곳으로 이곳은 농산물 꾸러미에 로컬푸드를 입혀 소비지와 함께... 실제 안산 대부도 지역 내 두 개 생산자 협동조합이 로컬푸드 꾸러미 사업을 통해 생산자를 좀 더...
4,본시스템즈 공장자동화를 위한 협동로봇 부품 감속기 개발
4,인간과 직접적인 상호 작용을 위해 설계된 로봇을 바로 협동 로봇이라고 부른다. 자율적으로 움직이는 것이 아니라 인간과 협동해 작업을 수행하는 역할을 해내는 기계로 제조 산업 현장에서 흔하게 만나볼 수 있는...
4,협동조합 리본 아미동 주거환경개선 프로젝트 본격 시동
4,김은미 협동조합 리본 대표와 아미동 지엽사회보장협의체 관계자들이 19일 업무협약을 체결한 후 기념촬영하고 있다. (협동조합 리본 제공) 협동조합 리본은 지난 19일 아미동 지역사회보장협의체와 업무협약을 체결하고...
4,[기획]카페→협동조합…JDC 마을공동체사업 '~ing'⑧
