label,sentence
3,독창적인 조리법 특허 최근 4년간 1450건 등록
3,조리법으로 독창성이 인정되는 경우 특허를 받을 수 있다 고 밝혔다. 또  이미 공개됐더라도 1년의 시간이... 조리법의 독창성을 인정받아 등록된 사례다. 조리법 관련 출원은 개인 출원이 60.5%로 가장 많고 중소기업...
3,독창적 외관·고성능 감성…제네시스 ‘더 뉴 G70’ 출시
3,제네시스의 중형 스포츠 세단 ‘G70’가 새로운 얼굴로 돌아왔다. 제네시스 브랜드는 20일 지난 2017년 출시된 ‘G70’의 첫 번째 부분 변경(페이스리프트) 모델인 ‘더 뉴 G70’를 공개했다. 디자인의 정체성을 강화한...
3,특허청  독창적인 음식 조리법 특허 받을 수 있다 
3,조리법으로 독창성이 인정되는 경우 특허를 받을 수 있다. 또 이미 공개됐더라도 1년의 시간이 흐르지... 또 기존에 알려진 음식이더라도 조리법의 독창성을 인정받아 등록된 사례들도 있다. 조리법 관련 출원인의 유형을...
3,김천만의 색 입힌 독창적 축제 개발
3,김천시는 김천만의 지역색을 입힌 독창적인 축제 콘텐츠를 발굴 지역가치를 높이고 관광객 유치를 통한 경제활성화를 도모하기 위해 지난 6월부터 김천시 축제개발 연구용역을 진행해 왔다. 이날 보고회에서는...
3,[포토] 아시아 호텔페어 참가한 럭셔리 호텔식침구 구스베개 브랜드 크라운구스의 '독창적 예술성'
3,크라운구스는 지난 크라운구스 아틀리에 개관 전시에서 최초 공개한 현대 미술 아티스트 두 민 작가와 함께한 아트 베딩을 공개하며 독창적인 예술성을 인정받았다.
3,[문화가소식] 소프라노 신은선 독창회 외
3,소프라노 신은선 독창회 외
3,[영월]독창적 콘텐츠·체험 휴양마을 손꼽혀
3,김대경 군 농업축산과장은 “농촌의 고령화 귀농·귀촌인 증가 등 환경변화에 대응하는 맞춤형 농촌 개발 사업을 추진하고 있다”며 “각 마을은 독창적인 콘텐츠로 전국에서 손꼽히는 체험 휴양마을로 거듭날...
3, 고유하고 독창적 ..'소리도 없이' 김지운➝민규동 감독 극찬 릴레이
3,먼저 김지운 감독은 연출을 맡은 홍의정 감독에 대해 “자신만의 고유하고 독창적인 영상 세계를 유연하게... 어디서 이런 작품이 소리도 없이 나타났을까”라며 이제껏 보지 못한 독창적인 미장센과 아이러니가 가득한...
3,거리의 이단아에서 천재화가로…바스키아의 독창적 예술세계
3,롯데뮤지엄 대규모 회고전 내일 개막  아프리카계 유색인인 게 내 성공과 무슨 상관인지 모르겠다. 나는 아프리카계 아티스트들이 아니라 모든 아티스트들과 비교돼야 한다.  미국의 천재 미술가 장 미셸 바스키아(1960...
3,[미술 산책] 슬프도록 화려하고 독창적인 서양화가 정진용
3,관객은 전시장에 들어서면 슬프도록 화려하고 독창적인 작품들 마주할 수 있다. 작가는 우아하고 화려한 시절을 보냈으나 낙양(落陽)의 호숫가에 뜬 낡은 배와 같은 전통 정치적 격동기에 매몰되는...
3,소프라노 마리아 김희정 독창회
3,오는 10월15일 목요일 저녁 7시30분 범어대성당 드망즈홀에서 소프라노 마리아 김희정의 독창회가 열린다.... 이번 독창회는 4년 여만의 독창회다. 베토벤의 '아델라이데' 포레의 가곡과 모차르트의 '피가로의 결혼...
3,소프라노 마리아 '김희정 독창회'
3,내외뉴스통신 NBNNEWS 김수일 기자
3,'독창적 서체' 남청 임성순 작가 세 번째 개인전
3,40년 넘게 붓과 먹으로 수행을 이어 오며 독창적 서체를 통해 선의 세계를 구현해 온 남청 임성순 작가의 세... 선보이며 독창적이고 자유로운 작품세계를 펼쳐 왔다. 중문학 전공자였던 그는 40년 전부터 붓을 잡고 서예...
3, 독창·실험적 디자인 구현 …현대차 신형 투싼 이미지 최초 공개
3,현대차 관계자는  신형 투싼의 외장에 실험적이고 독창적인 디자인을 구현해냈다 면서  전면부는 정교하게 세공된 보석처럼 빛의 변화에 따라 입체적으로 반짝이는 '파라메트릭 쥬얼 패턴 그릴' 위에 시동을 켜면...
3,[ICK(혁신) 특집/대경대학교] '다름의 가치' 대경의 독창적인 교육혁신에 답 있다
3,■독창적인 교육모델 '산학일체형 co-op교육'= 대경대는 독창적인 교육모델인 '산학일체형 co-op교육 시범대학 지정(교육부)'을 발판으로 고등직업교육대학으로서의 역할을 충실히 수행하고 있다. 그 결과 전문대학...
3,독창적인 콘텐츠와 제작 노하우 인정받아 애니메이션 업계 눈길
3,독창적인 콘텐츠와 제작 노하우를 인정받아 아시아권 애니메이션 업체 중 최초로 넷플릭스 오리지널 계약 작품 제작에 참여하게 되면서 해당 분야 강자 지위를 다시 한 번 확인했다. 스튜디오버튼 김호락 대표...
3,감동과 눈물의 세계적 소프라노 카트리나 크룸파네 부산 독창회 '성료'
3,카트리나 크룸파네.(사진=음악당 라온) 세계적인 소프라노 카트리나 크룸파네(Soprano Katrina Krumpane)가 음악당 라온에서 두 번째 독창회를 가졌다. 지난 9월 11일 진행된 카트리나 크룸파네의 공연에서는...
3,[브랜드 인사이드](22)모방할 수 없는 맛을 독창적 디자인에 담다
3,모방할 수 없는 가치를 독창적이면서도 지속적인 디자인과 결합하는 끊임없는 노력이 뒤따를 때 비로소 브랜드는 한 단계 더 높은 명성을 얻게 된다. 김도환 브랜드 디렉터·㈜도빗 이사 ▶ 주간경향 표지이야기 더보기...
3,SMㆍ마블 협업  독창적인 방식으로 K팝 문화로 확장 
3, 라며  마블 유니버스는 SM엔터테인먼트와 협력한 다양한 머천다이즈 및 콘텐츠를 통해 멋지고 독창적인 방식으로 K팝 문화로도 확장해 나갈 예정이다 라고 덧붙였다.
3,바리톤 최종우 10일 영산아트홀서 독창회
3,바리톤 최종우가 오는 10일 오후 7시30분 서울 영등포구 영산아트홀에서 독창회를 연다. 그는 이번 독창회에서 한국 가곡을 포함해 중국 러시아 프랑스 독일 이탈리아 등 각국의 대표하는 작곡가의 아름다운 가곡을...
3,레퍼토리 10번 넘게 바꾼 데뷔앨범 풀어 놓는다…‘노란 레이블’ 박혜상 11월20일 독창회
3,타이틀로 독창회를 개최한다. ‘헤라’는 박혜상의 영어 이름이다. 박혜상은 지난 5월 유니버설뮤직 산하... 이를 기념해 11월에 독창회를 가진다. 그는 이번 콘서트에서 유명 오페라의 아리아를 들려준다. 글룩...
3,민팃ATM 독창적∙직관적 디자인으로 IDEA 디자인 어워드 본상 수상
3, 정보통신 리사이클 브랜드 민팃은 17일 'IDEA 2020(International Design Excellence Award)'에서 '디지털 인터렉션(Digital Interaction)' 부문 동상(Bronze)과 '서비스 디자인(Service Design)' 부문 파이널리스트(Finalist)를 수상했다고...
3,'소울' 오프닝 단편 '토끼굴' 포스터…디즈니·픽사 독창적 상상력
3,제73회 칸 영화제와 제25회 부산국제영화제 초청작 '소울'이 2021년 상반기 국내 개봉을 앞둔 가운데 디즈니·픽사가 선물하는 또 하나의 오프닝 단편 애니메이션 '토끼굴'의 포스터를 공개했다. '토끼굴'은 어린 토끼가...
3,소프라노 우수연 독창회 9월 25일 금호아트홀 연세에서 개최
3,소프라노 우수연의 독창회가 9월 25일 금요일 오후 8시 금호아트홀 연세에서 개최된다. 우수연은... 피아니스트 정영하와 함께하는 이번 독창회는 퍼셀 슈베르트 드보르작 뿔랑 라흐마니노프 베르디 등...
3,페이스북 독창적 보도 우선 노출한다
