label,sentence
2,글로벌 기업이 인재를 뽑을 때 보는 2가지 역량 트렌드
2,최근 글로벌 기업이 인재를 뽑을 때 보는 2가지 역량 트렌드를 정리해보았습니다. 1. Leadership 먼저 리더십은 주도성(proactiveness)을 말한다. P&G 로레알 등 글로벌 Top 기업들은 리더십을 주된 인재의 경쟁력으로 꼽는다. 리더십은 그럼 과연 어떻게 쌓을까? 커뮤니케이션과 리더십은 다른 역량들과...
2,[경기IT새일센터_구직자 역량강화교육]웹&모바일 UX/UI 디자인 트렌드 분석 특강...
2,* UX/UI를 활용한 사용자 분석 태스크 분석 디자인 리서치 프로토타입 등 웹&모바일 콘텐츠 설계 및 기획 능력을 학습하여 디자이너가 꼭 알아야 할 실무 프로세스에 대한 노하우와 레이아웃 컬러 조합 요소 배치 등 디자인 스킬들을 학습하여 UX/UI 트렌드를 반영한 디자인 역량을...
2,채용 트렌드 핫 키워드 '직무역량' 예전에는 아니었다?
2,왜 직무역량이 트렌드가 되었나! 이걸 모르면 기업이 무엇을 원하는지 알 수가 없습니다. 기업은 의미 없는 질문을 하지 않는다. 성장과정 항목을 예로 들겠습니다. 이제는 지겨울 법하게 들었을 '어릴 적부터 자라온 과정을 적으면 안 된다는 것'은 잘 아는데... 무엇을 어떻게 적어야 할지는 모르는...
2,[역량강화교육/독서토론] 트렌드 코리아 2020 <초개인화 기술>
2,4월 역량강화/독서토론의 장을 열어주실 분은! 부동산종합서비스사업전략팀의 정성수 차장님이십니다~! 그럼 바로 내용 확인해볼까요~? 이번 독서토론은 <트렌드 코리아 2020>의 '초개인화 기술' 챕터에 맞는 영상을 준비해 주셨어요~ 영상을 보시면 이번 책의 주제를 쉽게 이해하실 수 있어요! 정말...
2,[리더십 교육] 변화 서번트 카리스마 시스템 상황 대응 / 트렌드와 마인드 / 역량 개발을...
2,리더십 트렌드 리더십 역량 개발을 위한 프로세스 단계별 활용 Tool 및 사례연구 지속적인 리더십 조정과 강화를 위한 방법 관리자 리더십 교육 신입사원 셀프리더십 교육 교육 진행 예시 글로벌 리더 사례연구 중심 특강 형태 진행 교구 활용 실습 중심 참여형으로도 운영 가능 교수법 & 강의 스킬...
2,과학기술 트렌드 세터로 거듭나는 시간! – 여성연구자 역량 강화 교육
