label,sentence
8,교육문제연구소 연구윤리 및 역량강화 워크숍 성료
8,교육문제연구소 연구윤리 및 역량강화 워크숍 성료 전남대학교 교육문제연구소(소장 류지헌)는 지난 6월 19일(수) 교육융합관 사림홀에서 대학원생 및 학석사연계학생 60여명을 대상으로 연구윤리 및 역량강화 워크숍을 진행했다. 이번 워크숍은 IRB 신청절차와 연구역량 강화를 위한 내용으로...
8,"창문 6회차 강의 ""문화 기획자에게 요구되는 역량과 윤리 문화예술과 저작권법"""
8,창원 인근에 계신 전문가들로부터 '문화기획자에게 요구되는 역량과 윤리'와 '문화기획에 필요한 윤리: 문화예술과 저작권법' 에 대한 강의를 들을 수 있었습니다. 3시간을 꽉꽉 채운 유익한 강의들을 모두 전해드리지는 못하겠지만 문화기획에 관심을 가지고 계신 분들이라면 한번쯤...
8,코칭 핵심 역량 1. 윤리지침과 직업 기준 충족시키기
8,#성찰 질문 Q. 나는 윤리기준과 직업 기준을 충족하는 코치인가? Q. 유사영역과 코칭을 혼용하지 않는가? 혼용한다면 어떤 상황인가? Q. 고객 내면의 탐험을 일깨우는가? #코칭핵심역량 #윤리지침 #직업기준충족시키기 #윤리강령 #박혜숙코치
8,역량평가 : 평가사 윤리의식
8,이때 중요하게 요구되는 것이 바로 윤리의식이다. 평가는 철저히 비밀리에 진행된다. 이것은 비단 역량평가 뿐만이 아니다. 간혹 시험문제 출제위원이 시험문제를 사전에 노출하여 혹독한 댓가를 치르고 명예를 실추시키는 사례들을 우리는 수 없이 보아 왔다. 역량평가의 경우 어떤 Simulation을...
8,7. 공공기관 공기업 NCS 역량을 기초로 자소서 작성하기(직업윤리)
8,""" 사기업도 마찬가지겠지만 공기업의 경우 국민들을 위해 일하는 곳이며 국민들의 세금으로 운영되는 곳 또한 상당수이기 때문에 더욱 더 청렴하고 윤리적이어야만 하고 앞서 언급한 저런 상황에서 단호하게! 원칙과 규정 도덕과 양심을 우선시해야 할 것이다. 그러한 의미에서 ‘직업윤리’항목은..."
8,[커리어컨설턴트 양성과정] 컨설턴트 역할 윤리 역량(김이준 교수)
8,김이준 교수님이 말씀하시는 커리어컨설턴트의 역량 역할 윤리! 앞으로 커리어컨설턴트로서 활동하시면서 늘 마음에 새겨야 할 소중한 경험들을 풀어놔 주셨습니다. 그리고 그 안에서 우리가 지켜야 가고 만들어가야 할 과제들을 생각할 수 있는 시간이었습니다. 하나라도 놓치지 않을테다. 안XX...
8,도덕 역량 교육 - 도덕적 전문가 단계와 통합적 윤리교육(나바에즈)
8,"이 내용은 본 대학원의 손경원 외래 교수의 ""도덕 심리학 연구의 최근 동향과 도덕과 핵심 역량 개발"" (『윤리교육연구』 37집 2015)의 일부를 요약 재구성(Y)한 것으로 저작권은 본 대학원에 있으며 석사과정에서 다루어집니다."
8,Ⅶ. 조직역량 개발과 윤리경영
8,조직역량을 개발하여 전인격체적 조직을 구현하고 지속가능 경쟁우위를 구현한다. 따라서 인성5역량을 기반으로 한 조직역량 개발은 윤리경영과 지속가능 경쟁우위를 위한 수단을 제시한다. 즉 윤리경영은 기업의 사회적 책임을 위한 윤리적인 것이 아니라 경쟁우위를 창출하는 도구이다.
8,치위협 치위생 윤리 지도 교수 ‘역량 강화’
8,‘치위생 윤리’ 교재 발간 등 그간 치과위생사 윤리 확립을 위해 노력해온 치위협은 이번 세미나를 통해 실제 학교에서 윤리를 지도하는 담당자들의 역량을 강화하고 이를 통해 교육 현상에서부터 올바른 치과위생사 윤리를 정착시켜 보건의료인이자 전문직인 치과위생사들의...
8,위한 윤리교육] 우리나라 수퍼바이저가 경험한 상담수련생의 전문적 역량의 문제...
8,축어록 등의 수퍼비전 자료와 수퍼바이저의 직관 및 윤리규정 검토 수련생의 행동이나 반응 관찰 동료 수련생의 반응과 동료 수퍼바이저의 조언 등을 통해 역량 문제를 평가했다. 가장 많이 보고된 것이 수련생의 심리/정신적인 문제였는데 이는 기술과 윤리적 문제는 교육 및 훈련으로 어느...
8,경남교육연수원 4차산업혁명시대 인재상과 핵심역량 윤리의식 창의성 협업 소통...
8,#경남교육연수원 #4차산업혁명시대가요구하는인재상과핵심역량 #협업과소통 이라는 주제로 #4차산업혁명 과 #조직문화과정 3시간 강의였습니다. 다소 무겁고 딱딱한 내용이라 교육생들의 공감과 관심을 끌어내기 위해 도입부분에 신경썼습니다. 다행히 오전시간 첫타임에도 불구하고 많은 공감과...
8,신입직원 역량강화 법정의무교육#2 (청렴교육 반부패윤리교육 청탁금지법 김영란법...
8,신입직원 역량강화 법정의무교육#2 (청렴교육 반부패윤리교육 청탁금지법 김영란법 공직자행동강령) 인류의지혜 이현실강사와 함께! 자선은 아무리 베풀어도 지나치지 않다. 프랜시스 베이컨 ★ Ten-Tube https://youtu.be/FBPTeW8162k 인류의지혜 이현실 대표강사의 텐튜브! 오늘의 강연 사진을...
8,홍영표 “인사청문회 윤리청문회와 공직역량청문회로 분리”...1호 법안 발의
8,"""인사청문회 과도한 신상털기로 본래 기능 상실"" ""윤리청문회 '비공개'...일하는 국회 첫걸음"" 홍영표 더불어미주당 의원은 22일 인사청문회를 공직윤리청문회와 공직역량청문회로 분리하는 것을 골자로 한 인사청문회법 일부개정안을 대표발의했다. 홍 의원은 이날 보도자료를 통해 “국회..."
8,공공기관 인문학 강의 직업 윤리 역량강화 소진예방 특강
8,안녕하세요! 영화로 하는 마음 치유 시네마 테라피스트 김태희 입니다. 봄에 영화 인문학으로 만나뵈었던 여성가족부 한국건강가정진흥원에서 강의 평가가 정말 좋았다면서 다시 한번 강의 요청을 해주셨어요~ https://thstyle.blog.me/221576630236 반가운 마음으로 오늘도 많은 분들과 함께 합니다!!...
8,전북교육청 초·중등교원 정보통신윤리 역량 강화
8,초·중등교원 정보통신윤리 역량 강화 4월 1일부터 6월 30일까지 초·중등 교원 1200여명 대상 원격연수 도내 초·중등 교원을 대상으로 정보통신윤리 역량 강화를 위한 원격연수가 4월 1일부터 6월 30일까지 실시된다. 전라북도교육청은 게임·인터넷·스마트폰 중독현상을 예방하고 올바른 정보문화...
8,[핵심역량] 한국전자통신연구원(ETRI)_기업 문화 및 윤리와 산업 기술 보호
8,"[핵심역량] 한국전자통신연구원(ETRI)_기업 문화 및 윤리와 산업 기술 보호 저희 주식회사 시소가 한국전자통신연구원(ETRI)에서 취업준비생을 대상으로 ""기업 문화 및 윤리와 산업 기술 보호"" 과정을 진행하였습니다. 이번 과정은 취업준비생들을 대상으로 다음과 같은 핵심 내용을..."
8,연구 윤리 최신 이슈 및 정책 방향을 찾아서
8,③ 인프라 구축 : 정부 및 대학의 연구 윤리 역량 강화를 지원하도록 한다. 그러면 여기서 이야기하는 ‘대학기관 평가인증’은 무엇인지 살펴보겠습니다. 대학기관 평가인증(University Institutional Accreditation UIA)은 대학이 교육기관으로서 기본 요건을 충족하고 있는지를 판정하고 그 결과를...
8,[강의디렉터 이종현] NCS 기초직무역량 - 직업윤리능력
8,그래서 선택한 내용은 NCS 기초직무역량 중 직업윤리능력에 관한 내용입니다. 선택을 하게 된 이유는 간단합니다. 이 내용은 배운다기 보다는 평상시 내 행동에 대한 고민을 해봐야 하기 때문입니다. 기본적인 도덕과 윤리의 개념에서부터 시작하는 것입니다. 공동체라는 개념을 이해하고 그 안에서...
8,미디어윤리교육의 주요 가치와 역량_책임신뢰관용협업절제공감
8,쏘셜 미디어 시대 윤리교육이 강조해야 할 주요 가치와 역량 1. 강조해야 할 주요 가치: 책임 신뢰 관용 현대사회에서 익명성에 숨어 일어나는 집단 이기주의가 만개하고 있습니다. 우리 인간은 ‘인지적일관성’의 경향을 추구 하기에 자신이 필요로 하는 정보만 보고 믿고 싶은 정보만 보고...
8,ICF 11가지 코칭핵심역량 1. 윤리지침과 직업기준 충족시키기 (MEETING...
8,ICF 11가지 코칭핵심역량 1. 윤리지침과 직업기준 충족시키기 (MEETING ETHICAL GUIDELINES AND PROFESSIONAL STANDARDS) 코칭핵심역량 A. SETTING THE FOUNDATION A. 기초세우기 1. Meeting Ethical Guidelines and Professional Standards - Understanding of coaching ethics and standards and ability to apply them appropriately in all coaching...
8,국내 생명의학연구윤리 역량 강화 나선다
8,국내 생명의학연구윤리 역량 강화 나선다 대구가톨릭 국제심포지엄 개최·국내 IRB 분야 역량 강화 방안 모색 WIRB 미보건성 주요 인사 대거 참석 강연도 펼쳐 대구가톨릭대학교의료원(의료원장 김준우 신부)이 국내 생명의학연구윤리심의 분야의 국제적 경쟁력 확보를 위한 발걸음을...
8,공기업/기업/공공기관_윤리 역량_윤리 경영 교육_차희연강사[윤리적 의사결정]
8,· 직장 내 윤리적 딜레마 상황을 이해하고 윤리적 의사결정을 내릴 수 있는 리더십 역량을 키우도록 한다. 프로그램 안내 : 실습 및 토론 식 / 강의 식 중 선택 자신의 회사에서의 윤리적 기준은 어느정도일까? 윤리적 의사결정을 위한 윤리 기준을 바로 세워봅니다. 차희연 강사님께서는 10년동안의...
8,비영리조직에서의 윤리역량 비영리법인설립행정사
8,비영리 조직 구성원들에게 요구되는 윤리 약량이란 무엇일까요? 1. 비영리 조직의 맥락 2. 옳고 그름 판단을 위한 틀 3. 인적 자원과 비영리 활동 체계의 전체에 대한 인식 4. 공정성 공평한 대우 모든 인간에 대한 존중을 향한 열망 등에 대한 이해와 함께 비판적 사고 능력을 갖추는 것. 비윤리적...
8,영아보육교사의 역할과 윤리 3강4강
8,NCS(국가직업 능력 평가) 기반 직업윤리 마음가짐과 태도 및 올바른 직업관 기본역량 제시 근로윤리(내 일에 대한 열심히 근면)/공동체 윤리(공동체에서 책임감을 지니며 서로 규칙을 지키고 예의 동료와 나의 관계 유지) 영유아를 보호하는 직업윤리의 엄정성 ::수단의 굶주린 소녀 윤리강령의...
8,신입직원 역량강화 법정의무교육(#청렴교육 #반부패윤리교육 #청탁금지법 #김영란법...
8,신입직원 역량강화 법정의무교육(#청렴교육 #반부패윤리교육 #청탁금지법 #김영란법 #공직자행동강령)은 인류의지혜 이현실강사와 함께! 인생에서 중요한 세 가지는 첫째도 친절 둘째도 친절 셋째도 친절이다. 헨리 제임스 ★ Ten-Tube https://youtu.be/QeGJefGxnjQ 인류의지혜 이현실 대표강사의 텐튜브!...
8,수의사의 역량 수의윤리 제반 이슈
8,수의사의 역량 전공이론지식 전공실무지식 수의사로서의 자기개발 의사소통 능력 윤리적 가치 및 의사결정 문제 해결능력 창의적 사고능력 리더쉽 경영지식 및 실무 수의윤리 제반 이슈 수술이나 실험에 있어 동물의 고통처리에 대한 문제 식품위생등 공중보건과 관련된 정치사회문제에...
8,(주)휴비스 【02】 : 부장·팀장 역량향상과정 『윤리경영』 강의. 기업윤리...
8,두 번째 포스팅~~ 2015년 직급별 역량향상과정 (부장~팀장) 부장 역량향상과정 - 윤리경영 장소 : 근로복지공단 인재개발원 (충북 진천군 광혜원면) 부장 과정 <윤리경영&윤리리더십> : 2015년 10월 15일 부장 과정 <윤리경영&윤리리더십> : 2015년 10월 15일 강의를 마치고 걸어가는 길에... 강렬한 색깔을...
