label,sentence
6,[자기주도 진로코칭] AI 시대 꼭 필요한 미래역량 ‘소프트 스킬’
6,미래 역량인 ‘소프트 스킬’을 개발하기 위한 작은 실천 오늘부터 차근차근 시작해보아요. 생각이 깊고 넓어지는 자기주도 진로활동 출처 : 픽사베이 코칭질문 요즘 나의 하루 일과는 어떻게 되나요? 일과표를 직접 그려보고 그중 더 많은 시간을 할애해야 할 일과 시간을 줄여야 할 일을...
6,공부가 머니에서 임채원 나이 최승경 자기주도학습 특집에 아들 최준영 초6 전문가 역량...
6,자기주도학습 역량 테스트 박용준 교사는 “준영이는 오답 노트를 해야 하는지 그 자체를 모를 수 있다”라고 하며 “보통 아이들은 틀린 문제를 적고 해설지 풀이를 적는 경우가 많은데 이런 경우는 답안지 보고 마는 것“이라고 했다. 이어 그는 오답 노트를 만들 때 ‘왜 틀렸는지’ ‘내가 뭘...
6,나주시 자기주도학습 학생역량강화사업 수료
6,나주시의 자기주도학습 역량 향상을 위해 애써주신 순수-오름의 김세영 호남본부장님 광주에서 지원나와주신 이여준 코치님 세종에서 나주까지 왕복하며 아이들과 신나고 즐거운 시간을 만들어주신 이수경 선생님 그리고 물품 하나 워크북과 진단 하나까지 잘 챙겨주셔서 한 달 간 진행된...
6,[공모전 추천] 자기주도적 학습역량 개발 우수사례 UCC 공모전
6,요즘 비도 오고 날씨도 푹푹 쪄서 다들 건강 조심하시길 바랍니다ㅜㅜ 오늘은 '자기주도적 학습역량 개발 우수사례 UCC 공모전'에 대해 공지해드리고자 합니다! 한국대학교육협의회가 주관 국민은행이 협찬하는 공모전이라 관심 있는 분들은 한 번씩 읽어보세요 © adolfofelix 출처...
6,자기 주도 학습역량에 대하여
6,어릴 때부터 그러한 역량이 길러진 학생이라면 괜찮지만 그렇지 못한 학생이 무턱대고 혼자서만 공부한다면 자기주도역량이 길러지기보다 비효율적인 공부방법으로 시간만 허비하고 지치게 되기 쉽습니다. 자기주도역량은 마치 자가발전동력이 탑재된 것과 같은 것입니다. 무조건 혼자...
6,SLT 자기주도학습역량 강화 특별프로그램 소개
6,"이번 해에는 자기주도학습역량에 따라 학생들의 성적이 많이 차이 나겠네요. 아이들 교육에 좀 더 신경 써야겠습니다. 지난 포스팅에서 9월부터 시작하는 저희 학원의 ""SLT (self-direcred learning time) 특별수업"" 에 대하여 간략히 소개해드렸는데요. 이번 시간에는 좀 더 자세히 어떻게 수업이..."
6,[탄현동 영어학원] 자기주도학습 역량키우기
6,자기주도역량을 키우기 위해 필요한 두번째 노력은 자신의 성격을 파악하는 것입니다. 성격성향별로 공부하는 방식과 생활습관 자신이 잘 할 수 있는 분야가 다 달라지게 됩니다. 먼저 자신의 성격은 각종 심리검사를 통해서 알아보고 난 후 학습 방향을 잡는 것도 좋은 방밥업니다. 탄현동...
6,자기주도학습 역량 길러주기 : 디지털네이티브 세대
