label,sentence
1,삼성 브랜드 가치 '글로벌5' 진입…현대차 자동차 부문 첫 5위(종합)
1,인터브랜드 '글로벌 100대 브랜드'…삼성 6위→5위로 상승 현대차는 종합 36위…지속가능·미래 투자 등 긍정 평가 장하나 김영신 기자 = 삼성전자와 현대자동차의 브랜드 가치가 일제히 상승하며 올해 각각 글로벌...
1,SK하이닉스 인텔 낸드사업부문 인수…낸드시장 글로벌 2위 도약(종합)
1,기준 글로벌 5위 수준이다. 시장조사기관 옴디아에 따르면 지난해 말 기준 낸드시장 점유율은 삼성이 35.9... 이어 글로벌 2위 자리로 도약한다. 특히 인텔의 강점인 기업용 SSD 시장에서는 삼성을 제치고 세계 1위로...
1,포스코인터내셔널 서울대기술지주와 글로벌 유니콘 키운다
1,포스코인터내셔널이 서울대학교 기술지주회사와 협력해 글로벌 유니콘 육성에 나선다. 포스코인터내셔널은... 바란다 며  글로벌 종합사업회사로서 스타트업에 적합한 다양한 해외 진출 전략 방안을 모색하며 상생하는...
1,카카오쇼핑라이브 글로벌 화장품 판매
1,카카오쇼핑라이브는 로라 메르시에 방송 외에도 10월26일에는 저녁 7시30분부터 밤 9시까지 글로벌 더 마코스메틱 브랜드 닥터자르트(Dr.Jart+)와 함께 라이브 방송을 진행한다. 대표적인 행사 상품으로는 피부 회복에...
1,SK건설 글로벌통신사와 '안전사고 예방 플랫폼' 구축
1,SK건설이 글로벌 통신 플랫폼 개발 기업과 손잡고 새로운 사업모델 발굴에 나선다. SK건설은 건설 현장 안전관리 시스템인 '스마트 세이프티 플랫폼'을 공동 기술개발하고 운영하기 위해 미국의 통신 플랫폼 개발...
1,KB금융-서울산업진흥원 글로벌 스타트업 육성 맞손
1,KB금융그룹(회장 윤종규)은 서울산업진흥원과 스타트업 글로벌 진출 및 투자유치 협력을 위한 업무협약을... 지원하고 글로벌 진출을 돕는데 협력키로 했다. 우선 해외 진출을 희망하는 유망 스타트업 10개사가...
1,KB금융 SBA와 글로벌 스타트업 육성 위한 상호협력
