label,sentence
2,NH투자증권 IT 트렌드를 알아보는 유튜브 세미나 개최
2,NH투자증권(005940)은 28일 오후 7시부터 유튜브를 통해 ‘IT 산업의 최근 트렌드와 투자아이디어’란 주제로... 관련된 트렌드 및 관련 업체 내용으로 진행할 예정이다. 마지막으로 주요 업체의 실적 전망 및...
2,중장년 비대면 취업 정보 제공…서울시 30일 '신중년 취업트렌드' 세미나
2,취업트렌드2020' 세미나를 30일(금) 온라인으로 개최한다. 이번 행사는 신중년의 일자리 창출과 사회적 경제... 이번에 진행되는 '신중년 취업트렌드2020' 세미나는 최신 채용 동향과 취업현장 사례 소개를 통해 50...
2,서울시 30일 ‘신중년 취업트렌드2020’ 세미나 개최
2,서울시50플러스재단은 오는 30일 '신중년 취업트렌드2020' 온라인 세미나를 개최한다고 21일 밝혔다. 이번... 앞으로도 신중년 맞춤 취업 이슈와 트렌드를 공유하고 논의할 수 있도록 다양한 자리를 마련하겠다 고 말했다.
2,몬스타엑스 '페이탈 러브' 타이틀곡은 '러브 킬라' …전 세계 트렌드 점령
2,그룹의 뚜렷한 색깔이 느껴지는 강렬한 음악과 깊은 이야기가 담긴 세계관으로 글로벌 음악 팬들을 매료시킨 몬스타엑스는 트랙 리스트 공개만으로도 뜨겁게 화제를 모으며 전 세계 트위터 실시간 트렌드...
2, 올해 페북·인스타 마케팅 트렌드는 …FMS 서울 온라인 개최
2,정기현 페북코리아 대표·짐 스콰이어스 인스타 부사장 등 연설 페이스북은 기업 마케팅 담당자를 대상으로 최신 페이스북 마케팅 트렌드를 공유하는 '페이스북 마케팅 서밋 서울(FMS 서울) 2020'을 열었다고 21일 밝혔다....
2,'나는 차였어' 캠핑 즐기는 新시각 '히트 트렌드 세터'
2,특별한 첫 여행을 마무리한 '나는 차였어'가 새로운 발걸음을 내딛는다. KBS Joy는 지난 17일 예능 프로그램 '나는 차였어' 스타들의 특별한 캠핑카와 함께했던 시즌1 마지막 회를 방송하고 여행의 막을 내렸다. 11월...
2,2020년 포장김치 판매 트렌드는?
2,마켓컬리는 올해 들어 집밥 트렌드가 자리 잡은 만큼 김치를 고를 때 예년보다 큰 용량을 고르는 심리가 반영된 것으로 분석했다. 더불어 포기 김치 1kg과 3kg 제품의 가격이 타 온라인몰 최저가 대비 평균 3~5% 낮은 점도...
2,'창립 41주년' 롯데百 집콕 트렌드 반영한 행사 전개
