label,sentence
3,47전48기 73세 신입사원의 취업분투기
3,그는 자신이 가진 최고의 강점을 ‘근면·성실’이라고 했다. ‘근면·성실’로 평생 ‘최선’을 다한 그의 지난 역사를 들으면서 고개가 숙여졌다. 그동안 우리가 잊고 있던 그 ‘단어’들이 얼마나 소중한 가치인지...
3,소득 많고 직분 높고 교회 클수록  가난은 개인 책임 …극복 방법은  근면 성실한 노력 
3,'가난을 극복할 수 있는 방법'을 묻자(3가지 중복 응답) 근면 성실한 노력(61.5%) 자기 계발(51.8%) 공평한 조세제도 마련(44.9%) 복지 정책 확대(43.9%) 순으로 나타났다. 최근 화두가 된 기본 소득제...
3,국세청 `20년 하반기 퇴직자 정부포상후보 160명 공개
3,35년여간 근면하고 성실한 자세로 맡은 바 업무에 최선을 다하며 세정행정에 공헌 △ 광주지방국세청 김선영... 및 근면 성실한 자세로 맡은 바 업무를 성실히 수행하였음. △ 중부지방국세청 김용원 ☞ 34년여간...
3,최평규 회장  근면하고 부지런하면 재앙은 복으로 바뀐다 
3,사진=S&T그룹 제공 최평규 S&T그룹 회장은 창립 41주년을 맞아  근면하고 부지런하면 재앙은 복으로 바뀐다 며... 그는 이러한  '근면하고 부지런하면(勤勤孜孜) 재앙이 복으로 바뀐다(轉禍爲福)'는 경험의 교훈을 창업...
3,‘근면·자조·협동’ 따랐던 그들 이젠 ‘생명·평화·공경’을 모토로 [커버스토리]
3,중간에 10년의 휴지기는 있었지만 근면·자조·협동이라는 새마을운동의 기본정신을 잘 인지하고 그 조직의... 과거 새마을운동의 근면·자조·협동의 정신을 실천 자세로 삼아 지구 생태계에 도움이 되는 일을 함께했으면...
3,테슬라 머스크 CEO  중국 에너지 대단…똑똑하고 근면 
3,머스크 CEO는 중국이 전기차 산업의 글로벌 리더로 부상할 것인가라는 질문에  중국의 에너지는 대단하다 며  중국에는 일을 스마트하고 근면하게 잘 해내는 사람들이 정말 많다 고 말했다. 그는 반면 미국 일부 지역...
3,이동걸 산은 회장 연임 첫날 전 직원에 '근면성실' 강조
3,산업은행은 11일 이동걸 회장이 제39대 산업은행 회장으로 두 번째 임기를 시작했다고 밝혔다. 산은에 따르면 연임 첫 날인 이날 이 회장은 전 임직원에 보낸 서신에서  노마십가(駑馬十駕)의 겸손한 마음으로 대한민국...
3,[Review] 내가 조의 아이였다면 - 조의 아이들
3,정직ㆍ용기ㆍ근면ㆍ신뢰ㆍ믿음을 가르치고자 하며 서로의 부족한 점을 길러줌과 동시에 놀랄 만큼 공감이... 플럼필드와 비슷한 연령대인 초등학교 시절을 떠올리기도 하고 기독교적 근면함을 강조하는 대목에선...
3,'미우새' 정석용母 근면성실 子자랑  우리 아들은 알부자다 
3,‘미우새’ 베스트 커플 탁재훈x이상민과 임원희x정석용 네 사람의 티키타카 케미로 ‘미운우리새끼’가 명불허전 일요 최강자의 뜨거운 화제성을 입증했다. 닐슨 코리아에 따르면 12일 방송된 ‘미운 우리 새끼(이하...
3,[카이스트 이승섭의 교육이 없는 나라] 공장 같은 학교는 NO 연구소 같은 학교라면 OK! | 근면 성실 대신 재미와 상상력을
3,당시 사회에서는 ‘성실과 근면’이 중요하게 강조했다. 회사와 공장에서는 새벽부터 밤 늦게까지 그리고... '창의와 도전' 뒤에 숨은 '성실과 근면' 구글 연구소 풍경 이러한 새로운 환경에서는 기존의 ‘성실과...
3,[동아플래시100]“일본과 경제 전쟁서 지면 민족 참화”… 이기려면?
3,첫재 勤勉(근면)하여야 할지니 諸君(제군)에게는 知力(지력)이 有(유)치 못하며 資力(자력)이 有(유)치 못하며... 오즉 自力(자력)을 依(의)할 따름이니 諸君(제군)의 自力(자력)이 그 勤勉(근면) 以外(이외)에 果然(과연) 如何...
3,남아공 조직범죄와 싸우던 최고위 수사관 피살 파장
