label,sentence
4,'앨리스' 주원X김희선 하드털이 사진 대방출  끈끈한 팀워크 
4,이외에도 사진 속 배우들의 유쾌한 웃음과 팀워크 역시 돋보인다. 곽시양(유민혁 역) 뒤에서 브이자를 그린... 이와 관련 '앨리스' 제작진은  짧지 않은 시간 동안 촬영하며 배우들 모두 끈끈한 팀워크를 자랑하게 됐다....
4,'나는 살아있다' 제작진  7명 출연진 엄청난 팀워크를 보여주며 성장 중 
4,덕분에 어색한 첫 만남이 있었지만 현재 엄청난 팀워크를 보여주며 성장하고 있다. 이러한 성장 과정을 지켜보는 건 매우 흥미롭다 고 전해 서로 이끌고 밀어주며 함께 성장할 출연진들간의 시너지를 예고했다. '나는...
4,TS·JDX 히어로즈 끈끈한 팀워크로 PBA 팀리그 3라운드 첫 경기부터 승리
4,TS·JDX 히어로즈를 후원하는 TS트릴리온 장기영 대표는 “단독 1위로 PBA 팀리그 2라운드를 마무리한 후 치른 3라운드 첫 경기였지만 똘똘 뭉친 TS·JDX 히어로즈만의 팀워크로 무패행진이라는 좋은 결과를 얻은 것...
4, 변화이자 도전  B1A4 3인조 개편 후 끈끈해진 팀워크(종합)
4,멤버들은 개편과 오랜 공백기에 더욱 끈끈해진 팀워크를 자랑했다. B1A4는 19일 오후 3시 정규 4집 '오리진' 발매 기념 미디어 온라인 쇼케이스를 열었다. B1A4는 먼저 컴백 소감을 밝혔다. 공찬은  머리가 하얘질 정도로...
4,[르포]집 한채 8분에 ‘뚝딱’… 건설-모듈러 제작사 ‘환상의 팀워크’
4,우선 건설-제작사 간 팀워크는 대체로 합격점이라는 평가다. 현장 감독관인 LH 이상현 차장은 “국내 첫 RC-모듈러 통합발주 프로젝트로 관심이 높았는데 양측의 호흡이 대체로 좋았다”고 전했다. 극동건설의 고은일...
4, 언제 어디서나 12명 …이달의 소녀 끈끈한 팀워크+진심 담은 메시지 [종합]
