label,sentence
4,[곡성소식] 모바일 게임 형식으로 비대면 청렴골든벨 행사
4,전남 곡성군은 오늘 23일에 직원들을 대상으로 비대면 방식의 청렴 골든벨을 실시한다. 청렴 골든벨은 퀴즈대회 형식으로 선의의 경쟁을 펼치면서 자연스럽게 공직자들의 청렴 의식을 내면화하는 행사인데 올해는...
4,서울시교육청 신규임용자·승진자 청렴리더교육 실시
4,서울시교육청은 21일부터 3일간 서울시교육청 소속 신규임용자 및 승진자 총 1200명을 대상으로 청렴 문화 조성 공감대 형성 및 실천 의지를 함양하기 위한 ‘2020 청렴 리더 연수’를 실시한다고 밝혔다. 서울시교육청은...
4,고양시 '문화공연' 덧입은 청렴 교육 실시
4,고양시(시장 이재준)는 지난 20일 오후 2시 어울림누리 별모래극장에서 시 소속 간부공무원들이 참여한 가운데 청렴교육을 라이브 공연으로 개최했다고 밝혔다. 고양시는 청렴인식 제고를 통한 부패예방 및 청렴문화...
4,기장군 청렴문화 확산 '할거예요·안할거예요-10·10 캠페인'시행
4,기장군은 지난해 국민권익위원회에서 실시한 공공기관 청렴도 평가에서 2018년 대비 2등급 상승한 종합청렴도 2등급을 받았으며 지속적으로 청렴도 향상을 위해 청렴시책을 펼친다. 올해 기장군은 '부패 ZERO 청렴 기장군...
4,옥천교육지원청 청렴문화탐방 활동
4,옥천교육지원청은 청렴문화탐방 활동을 전개했다고 밝혔다. 옥천교육청은 지난 20일 청렴동호회 회원 등 23명이 옥천 안내면 용촌리 도래밤티마을 옥천 읍 상계리에서 임진왜란을 예견한 중봉선생 유적문화 탐방활동을...
4,기장군 ‘청렴문화’... 직원 참여형 정책으로 추진
4,기장군이 직원 참여형 청렴 문화 정착에 팔을 걷었다. 21일 군에 따르면 기장군은 청렴도 업무를 총괄하는 기획청렴실은 ‘할거예요·안할거예요 10·10 캠페인’을 시행한다고 밝혔다. 이 캠페인은 공직자로서 청렴은...
4,고양시 문화공연 덧입은 청렴 교육 성료
4,문화공연 덧입은 청렴 교육 어울림누리 라이브공연장 현장 ⓒ고양시 고양시(시장 이재준)는 지난 20일 어울림누리 별모래극장에서 시 소속 간부공무원들이 참여한 가운데 청렴교육을 라이브 공연으로 개최했다고 21일...
4,인천도시공사 인천지방산단 입주자 대상 청렴문화 확산 활동
4,21일 인천지방산업단지 내 관리기관사무소에서 김동훈 시책사업지원팀장(사진 왼쪽)이 청렴행사 추첨 당첨자에게 경품을 지급하고 있다. 인천도시공사(사장 이승우)는 인천지방산업단지 입주기업 근로자들과 청렴...
4,서울 은평구 비리예방 내부통제 강화…청렴 평가제 실시
4,구는 기존에 운영해오던 '청백-e 시스템' '공직자 자기관리시스템'을 개선해 행정의 투명성·효율성·청렴성... 공직자 자기관리시스템은 모든 부서(원)의 자율적 청렴시책 활동을 계량해 관리하는 시스템으로 자발적...
4,경남도의회 의장단 우리도 '청렴실천 챌린지' 캠페인
4,경상남도의회 김하용 의장 등 의장단은 20일 제380회 임시회 4차 본회의에 앞서 간담회를 열고 '청렴실천 챌린지 캠페인'을 했다. 청렴실천 챌린지 캠페인은 도내 청렴문화 확산을 위해 민·관 24개 기관으로 구성된...
4,[강릉소식]캠코 강원본부 청렴 캠페인 전개 등
4,한국자산관리공사(캠코) 강원지역본부는 20일 강릉시 중앙·성남시장에서 청렴문화 확산을 위한 캠페인을 진행했다고 밝혔다. 캠코 강원본부는 시장에서 만난 시민·상인들에게 청렴 마스크를 나눠주며 청탁금지법과...
4,인천도시공사 인천지방산단 입주자 대상 청렴문화 확산 활동
