label,sentence
2,'보험금 거절용' 의료자문 지적에…피해구제절차 안내 의무화
2,안내를 의무화한다. 21일 금융당국에 따르면 금융감독원은 전날 이러한 내용 등을 담은... 이 때문에 금감원은 감독규정 시행세칙에 이의 발생 시 제3의료기관을 통한 재심의 등 피해구제 절차 안내를 의무화하기로 했다....
2, 정부 허락 받고 집 사라 …자금조달계획 의무화
2,정부가 부동산 시장에 대한 규제의 고삐를 바짝 당기고 있습니다. 앞으로는 수도권에서 집을 사려면 돈이 어디서 났는지 그리고 이를 증빙할 서류까지 제출해야 합니다. 사실상 정부 허락을 받고 집을 사라는...
2,계속된 강공책…규제지역 주택거래시 자금조달계획서 제출 의무화
2,오는 27일부터 규제지역 내 주택 거래시 자금조달계획서 제출이 의무화된다. 이는 지난 6.17 주택시장 안정을... 제출 의무화 등 크게 4가지로 분류된다. 먼저 정부는 자금조달계획서 제출대상을 확대한다. 투기과열지구와...
2,보험금 거절용 '의료자문' 지적에…피해구제절차 안내 의무화
2,보험회사가 의뢰하는 의료자문이 보험금 지급 거절 수단으로 악용된다는 비판이 계속되자 금융당국이 피해구제 절차 안내 의무화에 나섰다. 21일 금융당국에 따르면 금융감독원은 이같은 내용을 담은...
2,고위험시설 방역수칙 1회 위반시 '집합금지'…춤추기 금지 의무도(종합)
2,이영성 기자김태환 기자 = 정부가 고위험시설 등 핵심방역수칙 의무화 업소에 대해 위반 1회시 즉시... 핵심방역수칙이 의무화돼 있다. 해당 시설은 Δ클럽·룸살롱 등 유흥주점 Δ콜라텍 Δ단란주점 Δ감성주점...
2,공정위 하도급 금형 비용전가 안돼…비용정산·사전통보 의무화
2, 앞으로 원사업자가 수급사업자에게 금형을 통한 완성품 생산을 위탁하는 경우 비용정산과 사전통보가 의무화된다. 공정거래위원회(위원장 조성욱)는 하도급거래 당사자간 금형 거래를 투명하게 하고 분쟁을 예방하기...
2,영등포구 지자체 최초로 직업소개소 종사자 의무교육 영상 자체 제작
2,오는 11월 19일까지 ‘영등포구 직업소개소’ 밴드 통해 직업소개제도 강의 서울 영등포구는 직업소개소 종사자 법정 의무교육을 온라인으로 전환해 실시한다고 21일 밝혔다. 직업소개소 종사자 교육은 올바른 직업소개...
2,전북 고층아파트 피난안전구역 의무 아냐
2,전북 고층아파트 피난안전구역 의무 아냐 길금희
2,청송군 ‘마스크 착용 의무화’ 행정명령 발령...위반 시 과태료 부과
