label,sentence
3,[정몽구의 신화창조③]  고객에 집중하라   여러분이 애국자다  말말말
3,있다”며 IT 기술과의 접목에 철저히 대비할 것을 주문했다. 정 명예회장은 그해 6월 발간된 현대차 업PR브로셔 ‘2016 현대 블루웨이브’의 CEO 메시지를 통해 “하이브리드차 전기차 수소연료전기차 등 친환경차 제품...
3,DGFEZ 대구ㆍ경북창조경제혁신센터와 상호협력 협약체결
3,경북창조경제혁신센터 간 상호 업무협약을 체결했다고 밝혔다. ▲ DGFEZ... It said that it has signed a business agreement. The signing ceremony is aimed at promoting win-win development through...
3,서울성모병원 미래 창조 혁신 센터 ‘겨자씨키움센터’ 설립
3,선발된 미래위원들은 서초 평화빌딩 내 조성될 예정인 스마트 오피스와 IT 기자재 관련 분야 전문가들의 자문 팀 별 운영비와 개인별 연구개발비 등을 지원받게 된다. 이번 공모전은 학교법인 가톨릭학원과...
3,인천창조경제혁신센터 스마트 모빌리티 펀드(가칭) 업무집행조합원 모집
3,인천창조경제혁신센터와 인천시는 관내 스마트 모빌리티 관련 우수 창업기업... It is subject to a mandatory investment of at least three times the amount of investment (2 billion won) for start...
3,2020 비대면 비즈니스 챌린지 시상식 서울창조경제혁신센터에서 성료
3,향후 서울 창업지원기관 연합사업의 활성화를 도모할수 있게 되었으며 이번 챌린지에 선정된 7개사는 서울창조경제혁신센터와 협약을 통해 창업지원 사업연계 및 기타 후속지원을 받게 된다. 글 / IT동아 김영우
3,[IT큐레이션] 욕망의 바다에 몸을 적신다...메타버스(Metaverse)
3,시대가 창조됐기 때문이다. 여기서 또 다른 바람이 불어오고 있다. 웹과 앱으로 대표되며 온라인과... 만약 세컨드 라이프가 기술적 고도화를 완벽하게 끌어내어 완벽한 메타버스를 창조했다면 벌어지지 않았을 가능성이...
3,성북구 4차 산업혁명 IT기술 보유한 벤처기업 육성 '총력'
3,[성북구 1인 창조기업 지원센터 유망기업 '홀섬코리아 ㈜두리둥실 ㈜쉐어박스'를 만나다] 서울 성북구 1인 창조기업 지원센터(성북스마트앱창작터)가 유망한 미래기술을 보유한 벤처기업 양성에 주력하고 있다. 이...
3,[눈길 끄는 신규 오픈 매장] 코오롱FnC `시리즈 코너 시즌2` 도시의 부산물을 창조물로 바꾼 플래그십 스토어
3,'킵 이태원(Keep It aewon)'을 슬로건으로 이태원을 사랑하는 사람들에게 헌정한다는 의미까지 담았다. 시리즈 코너 익스클루시브 상품은 봄·여름(SS) 시즌과 가을·겨울(FW) 시즌에 1회씩 선보일 예정이다. 시리즈 코너...
3,KB국민카드 ‘일반10명 IT10명’…하반기 신입사원 공개채용
3,김빛나 기자 KB국민카드가 일반 직무 10명과 정보기술(IT) 직무 10명 등 총 20명 규모로 2020년 하반기 신입... 가치 창조에 기여 가능한 역량과 창의성을 갖춘 우수 인재들의 많은 관심과 지원을 바란다”고 전했다....
3,KOTRA 아시아 최대 IT기술전시회 공략
3,KOTRA는 경북창조경제혁신센터와 함께 컴퓨텍스의 스타트업 특화관 '이노벡스(InnoVEX)'에 온라인 한국관을 10월 한 달 동안 운영한다. 컴퓨텍스 내 이노벡스관은 2016년부터 대만대외무역발전협회(TAITRA)가 주관하고...
3,[현직 공무원 칼럼] 낙서는 창조의 씨앗 메모는 차이의 시작
3, 수험공부를 하다보면 포스트 잇(Post-it) 등을 활용해 메모를 하게 된다. 수험서 내용에 추가 내용을... 그 이유는 낙서와 적기는 창조의 씨앗이고 메모와 기록은 차이의 시작이기 때문이다. 그만큼 메모나 기록은 업무의...
3,민생당 “574돌 한글날 위민정신-창조정신 보여주신 세종대왕“ 논평
3,이 논평을 통해 ”574년 전 강대국의 눈치를 따돌리며 백성과 나라의 발전을 위해 한글을 창조한 께 깊은 감사를 드린다. 간단하고 과학적인 한글의 존재는 IT 강국과...
3,코오롱베니트 경기창조경제혁신센터와 유망 스타트업 발굴·지원
3,코오롱그룹의 IT서비스 전문기업 코오롱베니트가 23일 경기창조경제혁신센터와 '혁신형 창업기업 발굴 및 육성을 위한 오픈 이노베이션(Open Innovation) 업무 협약'을 체결했다고 24일 밝혔다. 이번 협약을 통해 양 기관은...
3,네이버 강원창조경제혁신센터 지원 기업에 IT 환경 구축 지원
3,클라우드 할인 크레딧 등 제공…경영 솔루션 제공도 검토 네이버 비즈니스 플랫폼(NBP)은 강원창조경제혁신센터와 함께 강원 지역 중소기업 성장을 위한 IT 환경 조성에 협력하기로 했다고 10일 밝혔다. NBP에 따르면...
3,인천창조경제혁신센터 국내최초 대형폐기물 처리 비대면 서비스 런칭
3,▲ © 박상도 기자 인천창조경제혁신센터가 보육기업 ㈜지금여기에서 개발한... As a result it is being evaluated that it guarantees the safety of citizens and provides convenience. In...
3,부산 동명대  교내서 스마트팜 버섯 재배합니다 … 농업-ITㆍAI 창조적 융합
3,정홍섭 총장은 “각종 경계가 허물어지는 4차산업혁명 시대에 농업-ITㆍAI간 창조적 융합의 결실인 동명아미고는 대학의 AI도약 혁신의 상징”이라며 “이는 캠퍼스를 뛰어넘어 사회문제 해결에 나서는 ‘리빙랩’과...
3,새로운 은행 창조하고 싶다? '토스뱅크 합류하라'
3,토스의 비바리퍼블리카가 내년 인터넷전문은행 설립을 준비하는 가운데 토스혁신준비법인이 핵심 금융IT 시스템을 구축할 경력 개발자를 공개 채용한다고 7일 전격 발표했다. 설립 초기 단계부터 합류해 새로운...
3, IONIQ: I'm on it  현대차 BTS '아이오닉 브랜드 음원' 공개
3,(지민) △창조와 영감의 시간(제이홉) △미래가 쌓이는 시간(진) 등을 주제로 전용 전기차 아이오닉 브랜드의 비전과 미래를 표현했다. 'IONIQ: I'm on it' 음원은 현대차 월드와이드 사이트 접속 후 무료로 내려받을 수...
3,‘IT-비즈니스 정렬하기’··· 전문가들의 실용 조언 7가지
3,하다드는 “매출 증대가 비즈니스 목표라고 가정하면 IT는 스스로 영업 부문이 효율적으로 제품을 판매할 수 있는 도구를 창조했는지 여부를 물어야 한다”라고 말했다. 서베이 전략과 핵심 우선순위 필요한 역량 등...
3,볼턴 “美의 대북 외교는 韓의 창조물…김정은 트럼프 낚았다”
3,‘한국의 창조물’로 묘사하면서 여기에 미국의 전략이 제대로 반영되지 못했다는 취지의 비판을... 18일(현지시간) 미국 CNN은 볼턴 전 보좌관의 회고록 ‘그 일이 벌어진 방(The Room where it happened)’ 원고 일부를...
3,[인사] 신현삼 제3대 경기창조경제혁신센터장 취임
3,▲ 신현삼 경기창조경제혁신센터장[IT비즈뉴스 최태우 기자] 경기창조경제혁신센터 제3대 신현삼 신임 센터장이 최근 취임식을 갖고 공식업무에 들어갔다. 경기창조경제혁신센터는 13일 차기 센터장을 공개 모집한 결과...
3,[SR통신IT] KT '지능형 위협메일 분석 솔루션' 출시
3,KT 인천창조경제혁신센터 보육기업이기도 한 시큐레터의 '위협문서 탐지' 기능은 리버스 엔지니어링(역공학) 기술을 통해 실행파일이 아닌 문서의 악성코드도 빠르게 진단함으로써 기존 APT(기업 내부 직원 PC를 장악한...
3,VM웨어 “애플리케이션 개발팀과 타 부서 조율할 수 있는 리더십이 혁신 창조 
3,보고서에 따르면 비즈니스 IT 애플리케이션 개발팀 간 명확한 조율이 혁신으로 이어지고 고성장... VM웨어는 시장조사기관 ‘밴슨 본(Vanson Bourne)’에 의뢰해 한국을 포함한 17개국 기업 내 비즈니스 결정권자 IT...
3,코트라 아시아 최대 규모 IT 산업 전시회 '컴퓨텍스' 공략
3,코트라는 경북창조경제혁신센터와 함께 컴퓨텍스의 스타트업 특화관 '이노벡스'에 온라인 한국관을 10월 한 달 동안 운영한다. 컴퓨텍스 내 이노벡스관은 2016년부터 대만대외무역발전협회(TAITRA)가 주관하고 있다....
3,롯데-부산창조센터 부산·경남지역 '스타트업 투자' 펀드 조성
3,롯데액셀러레이터가 부산창조경제혁신센터와 함께 신기술사업투자조합 '롯데-BCCEI 스타트업 펀드 1호'를... 이들은 5000만원의 창업지원금 및 사무공간 IT·법무 등의 경영지원 전문가 멘토링 등을 제공받는다....
3,공감능력·창조적 상상력으로 AI시대 대비
3,저자는 신작 '에이트: 씽크'를 통해 인공지능에 대체되지 않는 나를 만들기 위해 공감 능력과 창조적... 대신 인공지능이 탑재된 IT기기를 통해 접촉하고 소통한다. 학교 수업과 회사업무는 물론이며 회의와 미팅...
3,한국화웨이 새 CSO에 네이버 출신 'IT통' 이준호
3,이 신임 CSO는 포털 다음 최고정보관리책임자(CIO)와 네이버 CISO를 거친 정보기술(IT)·보안 전문가다. 인증보안 분야 핀테크(금융기술) 스타트업 센스톤의 공동대표를 맡기도 했다. 2014년 미래창조과학부(현...
3,제3대 경남창조경제혁신센터장에 이동형 전 싸이월드 대표
3,경남도는 경남창조경제혁신센터(이하 경남혁신센터) 제3대 센터장에 이동형 전 싸이월드 대표를... 경북대학교 유전공학과를 졸업하고 IT서비스 회사인 LG CNS에 입사했던 이 전 대표는 카이스트 경영공학 석사과정에...
3,팬데믹시대 더 커진 IT공룡 두고 독점·여론조작 우려 증폭
3,거인이었던 IT 빅 4는 코로나19 사태 이후 더욱 커졌다 면서  간단히 말해 이들은 과도한 시장지배력을 행사하고 있다 고 지적했다. 시실리니 의원은  이로 인해 새로운 경쟁과 창조 혁신이 저해될 수 있다 고 우려했다....
3, AI로 디지털화 선도... 대표 IT플랫폼 될것 
3,가치를 창조한다”는 슬로건을 바탕으로 카카오톡 기반의 운영 노하우와 AI 기술을 기반으로 전 산업분야의 디지털 트랜스포메이션을 선도할 예정이다. 아울러 기업형 정보통신(IT) 시장에서 서비스형플랫폼(PaaS)...
3,카카오 기업용 IT시장 '눈독'… 엔터프라이즈 출범
3,엔터프라이즈 IT 시장에서 서비스형플랫폼(PaaS) 서비스형소프트웨어(SaaS) 분야의 대표 사업자로 성장할... 카카오엔터프라이즈는 '모든 것에 AI를 더하여 연결하고 문제를 해결하고 새로운 가치를 창조한다'라는...
3,“재택근무부터 온라인 콘서트까지…코로나19로 모바일이 삶에 뿌리내렸다”[신무경의 Let IT Go]
3,이 기간 동안 우리는 스마트폰을 연결과 엔터테인먼트 탐험 정보와 창조의 관문으로 이용해왔다.” 글로벌 앱 분석업체 앱애니는 17일(미국 현지시간) ‘신종 코로나바이러스 감염증(코로나19)은 모바일에서 어떻게...
3,문재인식 '뉴딜' 박근혜의 '창조경제'와 다르지 않다
3,기존 ICT 산업정책을 가속하겠다는 것이며 철저히 공급주의적 정책이라는 점에서 박근혜 정부의 창조경제... 정부의 'IT산업 정책'에도 미치지 못한다. 당시 김대중 정부는 초고속 인터넷망의 건설 ICT 벤처 기업의 육성...
3,[김현아의 IT세상읽기]쿠팡 대리점 진출과 디지털뉴딜
3,총론은 환영하지만 정책 패러다임이 근본적으로 바뀌지 않으면 과거 정부의 ‘창조경제’나 ‘녹색성장’처럼 구호에 그칠 것으로 우려됩니다. 왜냐하면 정부는 여전히 시장에 신뢰를 주지 못하고 있기 때문입니다. IT...
3,[IT큐레이션] 미국이 반도체 시장 패권을 차지할까?
3,새롭게 창조할 것이다. 엔비디아와 암의 결합으로 이러한 AI 시대에 높은 경쟁력을 갖춘 기업이 탄생하게 될 것”이라고 말했다. 중국의 반격 미국의 반도체 전략은 국가적 차원에서 중국에 대한 강력한 압박을 추구...
3,최영진 개인정보보호위 부위원장 행시 출신 IT 전문가
3,정보통신(IT) 분야를 두루 거친 정통 관료다. 경남 하동 출신으로 1992년 행정고시(36회)에 합격해 정보통신부 사무관으로 공직에 입문했다. 이후 방송통신위원회 이용자보호국 조사기획총괄과장 미래창조과학부...
